Code	Preferred Term	Synonyms	Definition	Neoplastic Status
C3181	Prolymphocytic Leukemia		"A mature B- or T- cell leukemia with progressive clinical course. It is characterized by the presence of medium-sized lymphocytes with visible nucleoli (prolymphocytes) in the peripheral blood, bone marrow, and spleen."	Malignant
C111692	Proneural Glioblastoma		A molecular subtype of glioblastoma that is associated with younger age at presentation and is characterized by p53 mutations and PDGFRa amplifications.	Malignant
C5596	Prostate Acinar Adenocarcinoma	Acinar Adenocarcinoma of Prostate|Acinar Adenocarcinoma of the Prostate|Acinar Prostate Adenocarcinoma|Prostatic Acinar Adenocarcinoma	"An invasive adenocarcinoma of the prostate gland composed of secretory cells.  It is the most common histologic type of prostate adenocarcinoma.  Several morphologic variants exist, including atrophic, pseudohyperplastic, foamy gland, and oncocytic variants."	Malignant
C2919	Prostate Adenocarcinoma	Adenocarcinoma of Prostate|Adenocarcinoma of the Prostate|Prostate Adenocarcinoma	"An adenocarcinoma arising from the prostate gland.  It is one of the most common malignant tumors afflicting men.  The majority of adenocarcinomas arise in the peripheral zone and a minority occurs in the central or the transitional zone of the prostate gland.  Grading of prostatic adenocarcinoma predicts disease progression and correlates with survival.  Several grading systems have been proposed, of which the Gleason system is the most commonly used.  Gleason sums of 2 to 4 represent well-differentiated disease, 5 to 7 moderately differentiated disease and 8 to 10 poorly differentiated disease.  Prostatic-specific antigen (PSA) serum test is widely used as a screening test for the early detection of prostatic adenocarcinoma.  Treatment options include radical prostatectomy, radiation therapy, androgen ablation and cryotherapy.  Watchful waiting or surveillance alone is an option for older patients with low-grade or low-stage disease."	Malignant
C5539	Prostate Adenoid Cystic Carcinoma	Adenoid Cystic Carcinoma of Prostate|Adenoid Cystic Carcinoma of the Prostate	An adenoid cystic carcinoma that arises from the prostate gland.	Malignant
C4795	Prostate Adenoma	Adenoma of Prostate|Adenoma of the Prostate	Focal benign glandular hyperplasia in the prostate gland.	Benign
C5538	Prostate Adenosquamous Carcinoma	Adenosquamous Carcinoma of Prostate|Adenosquamous Carcinoma of the Prostate	An infrequent invasive carcinoma of the prostate gland characterized by the presence of both glandular and squamous neoplastic components.  It is more often located in the transitional zone of the prostate gland and it tends to rapidly metastasize to the bones.	Malignant
C39902	Prostate Basal Cell Carcinoma	Basal Cell Carcinoma of the Prostate	An invasive prostate carcinoma composed of prostatic basal cells.	Malignant
C4863	Prostate Carcinoma	Cancer of Prostate|Cancer of the Prostate|Carcinoma of Prostate|Carcinoma of the Prostate|Prostate Cancer|Prostate Carcinoma	"One of the most common malignant tumors afflicting men.  The majority of carcinomas arise in the peripheral zone and a minority occur in the central or the transitional zone of the prostate gland.  Grossly, prostatic carcinomas appear as ill-defined yellow areas of discoloration in the prostate gland lobes.  Adenocarcinomas represent the overwhelming majority of prostatic carcinomas.  Prostatic-specific antigen (PSA) serum test is widely used as a screening test for the early detection of prostatic carcinoma.  Treatment options include radical prostatectomy, radiation therapy, androgen ablation and cryotherapy.  Watchful waiting or surveillance alone is an option for older patients with low-grade or low-stage disease.  -- 2002"	Malignant
C6813	Prostate Ductal Adenocarcinoma	Ductal Adenocarcinoma of Prostate|Ductal Adenocarcinoma of the Prostate|Endometrioid Adenocarcinoma of Prostate|Endometrioid Adenocarcinoma of the Prostate|Endometrioid Carcinoma of Prostate|Endometrioid Carcinoma of the Prostate|Prostate Endometrioid Adenocarcinoma|Prostate Endometrioid Carcinoma|Prostatic Endometrioid Carcinoma	A usually aggressive invasive adenocarcinoma of the prostate gland composed of large glands containing tall columnar cells.  The columnar cells have abundant cytoplasm and are reminiscent of endometrial carcinoma.  This type of adenocarcinoma has a tendency to metastasize to the lung and penis.	Malignant
C7574	Prostate Phyllodes Tumor	Cystosarcoma Phyllodes of Prostate|Phyllodes Neoplasm of Prostate|Phyllodes Neoplasm of the Prostate|Phyllodes Tumor of Prostate|Phyllodes Tumor of the Prostate|Prostate Cystosarcoma Phyllodes|Prostate Phyllodes Neoplasm	"An unusual, biphasic benign or malignant neoplasm that arises from the prostate gland.  It is characterized by the presence of an epithelial glandular component and a proliferating stroma."	Undetermined
C6766	Prostate Small Cell Carcinoma	Prostate Small Cell NEC|Prostate Small Cell Neuroendocrine Carcinoma|Small Cell Carcinoma of Prostate|Small Cell Carcinoma of the Prostate	"A neuroendocrine carcinoma of the prostate gland with unfavorable prognosis, composed of small cells containing neurosecretory granules.  Approximately half of the cases show a mixture of small cells and adenocarcinoma cells."	Malignant
C5536	Prostate Squamous Cell Carcinoma	Squamous Cell Carcinoma of Prostate|Squamous Cell Carcinoma of the Prostate	An invasive prostate carcinoma characterized by the presence of squamous differentiation of the malignant cellular infiltrate.  There is no evidence of glandular differentiation.	Malignant
C39905	Prostate Stromal Proliferation of Uncertain Malignant Potential		"A neoplastic lesion that arises from the prostate gland stroma.  Morphologic characteristics include hypercellular stroma with scattered atypical cells, prominent overgrowth of the prostatic stroma, or changes resembling benign phyllodes tumor.  The majority of cases do not have an aggressive clinical course.  A minority of cases however, may progress to stromal sarcoma."	Undetermined
C5524	Prostate Stromal Sarcoma	Stromal Sarcoma of Prostate|Stromal Sarcoma of the Prostate	"A rare malignant neoplasm arising from specialized prostatic stroma.  It is characterized by the presence of stromal overgrowth and hypercellularity, increased number of mitotic figures, and pleomorphism."	Malignant
C5597	Prostate Undifferentiated Carcinoma	Undifferentiated Carcinoma of Prostate|Undifferentiated Carcinoma of the Prostate|Undifferentiated Prostate Carcinoma|Undifferentiated Prostatic Carcinoma	An invasive prostate carcinoma without evidence of cellular differentiation.	Malignant
C4320	Protoplasmic Astrocytoma		"A rare variant of diffuse astrocytoma. It is predominantly composed of neoplastic astrocytes showing a small cell body with few, flaccid processes with a low content of glial filaments and scant GFAP expression. This lesion is not well defined and is considered by some authors as an occasional histopathological feature rather than a reproducibly identifiable variant. When occurring in children, this neoplasm may be difficult to separate from pilocytic juvenile astrocytoma. (Adapted from WHO)"	Undetermined
C115334	Proximal Urethral Carcinoma		A carcinoma that arises from the proximal part of the urethra.	Malignant
C4331	Psammomatous Meningioma		A WHO grade I meningioma characterized by the presence of psammoma bodies that predominate over the meningeal cells.	Undetermined
C121668	Pseudomyogenic Hemangioendothelioma	Epithelioid Sarcoma-Like Hemangioendothelioma|Pseudomyogenic (Epithelioid Sarcoma-Like) Hemangioendothelioma	"An intermediate, rarely metastasizing blood vessel neoplasm that more frequently affects young adult males and usually arises in the lower limbs.  In approximately half of the affected patients the tumor is painful and in two-thirds of the patients the tumor is multifocal.  Morphologically it is characterized by the presence of sheets and fascicles of spindle cells with abundant eosinophilic cytoplasm and vesicular nuclei.  Cytologic atypia is usually mild.  Approximately 60% of the patients develop local recurrences or additional tumors in the same anatomic region."	Uncertain Malignant Potential
C5381	Pulmonary Artery Choriocarcinoma	Choriocarcinoma of Pulmonary Artery|Choriocarcinoma of the Pulmonary Artery|Chorioepithelioma of Pulmonary Artery|Chorioepithelioma of the Pulmonary Artery|Pulmonary Artery Chorioepithelioma|Pulmonary Artery Syncytioma|Syncytioma of Pulmonary Artery|Syncytioma of the Pulmonary Artery		Malignant
C3732	Pulmonary Blastoma	Blastoma of Lung|Blastoma of the Lung|Lung Blastoma|Pneumoblastoma	"A malignant neoplasm of the lung composed of tubular structures and immature mesenchymal elements, which may differentiate towards skeletal and smooth muscle, cartilage or a combination of muscle and cartilage.  This is a nodular tumor found in the periphery of the lung.  It can occur at any age.  The prognosis is related to the stage of the disease at the time of resection.  Pulmonary blastoma is divided into two subtypes: epithelial predominant and biphasic."	Malignant
C27513	Radiation-Related Angiosarcoma	Radiation-Induced Angiosarcoma	A malignant vascular neoplasm arising in an anatomic site exposed to radiation therapy.	Malignant
C53706	Radiation-Related Osteosarcoma	Postradiation Osteosarcoma	A high grade osteosarcoma arising in an irradiated bone.	Malignant
C82595	RAEB with Fibrosis		Refractory anemia with excess blasts associated with significant reticulin fibrosis of the bone marrow.	Undetermined
C7167	RAEB-1	RAEB-1|RAEB-I	"A myelodysplastic syndrome defined by 5-9% blasts in the bone marrow, and <5% blasts in the blood.  Approximately 25% of cases progress to an acute leukemia.  (WHO, 2001) -- 2003"	Undetermined
C7168	RAEB-2	RAEB-2|RAEB-II	"A myelodysplastic syndrome defined by 10-19% blasts in the bone marrow or 5-19% blasts in the blood and <10% blasts in the bone marrow.  Approximately 33% of cases progress to acute leukemia.  The prognosis is usually poor.  (WHO, 2001) -- 2003"	Undetermined
C9383	Rectal Adenocarcinoma	Adenocarcinoma of Rectum|Adenocarcinoma of the Rectum|Rectal Adenocarcinoma	"An adenocarcinoma arising from the rectum.  It is more frequently seen in populations with a Western type diet and in patients with a history of chronic inflammatory bowel disease.  Signs and symptoms include intestinal bleeding, anemia, and change in bowel habits.  According to the degree of cellular differentiation, rectal adenocarcinomas are divided into well, moderately, and poorly differentiated.  Histologic variants include mucinous adenocarcinoma, signet ring cell carcinoma, medullary carcinoma, serrated adenocarcinoma, cribriform comedo-type adenocarcinoma, and micropapillary adenocarcinoma."	Malignant
C5546	Rectal Adenoma	Adenoma of Rectum|Adenoma of the Rectum	"An adenoma that arises from the rectum.  The group of rectal adenomas includes tubular, villous, and tubulovillous adenomas, traditional serrated adenomas, sessile serrated adenomas/polyps, and familial adenomatous polyposis."	Benign
C5621	Rectal Adenoma with Severe Dysplasia	Adenoma of Rectum with Marked Dysplasia|Adenoma of the Rectum with Marked Dysplasia|Rectal Adenoma with Marked Dysplasia	An adenoma that arises from the rectum.  It is characterized by the presence of severe epithelial dysplasia.	Undetermined
C96480	Rectal Adenomatous Polyp	Adenomatous Polyp of Rectum|Adenomatous Polyp of the Rectum	"A polypoid adenoma that arises from and protrudes into the lumen of the rectum.  Epithelial dysplasia is always present.  According to the architectural pattern it is classified as tubular, tubulovillous, or villous."	Benign
C43594	Rectal Adenosquamous Carcinoma		"An unusual rectal carcinoma characterized by the presence of glandular and squamous carcinomatous components.  The two carcinomatous components may be admixed within the tumor, or the two may appear separately in different areas."	Malignant
C9382	Rectal Carcinoma	Cancer of Rectum|Cancer of the Rectum|Carcinoma of Rectum|Carcinoma of the Rectum|Rectal Cancer	A malignant epithelial neoplasm that arises from the rectum and invades through the muscularis mucosa into the submucosa.  The vast majority are adenocarcinomas.	Malignant
C60640	Rectal Medullary Carcinoma		"A rare, invasive rectal adenocarcinoma characterized by the presence of sheets of malignant epithelial cells with vesicular nuclei, prominent nucleoli, and abundant eosinophilic cytoplasm.  It usually has a favorable prognosis."	Malignant
C7973	Rectal Mucinous Adenocarcinoma	Colloid Adenocarcinoma of Rectum|Colloid Adenocarcinoma of the Rectum|Colloidal Adenocarcinoma of Rectum|Colloidal Adenocarcinoma of the Rectum|Mucinous Adenocarcinoma of Rectum|Mucinous Adenocarcinoma of the Rectum|Rectal Colloid Adenocarcinoma|Rectal Colloidal Adenocarcinoma|Rectal Mucinous Adenocarcinoma	An invasive adenocarcinoma of the rectum characterized by the presence of pools of extracellular mucin.  Malignant glandular epithelial cells are present in the mucin collections.  Mucin constitutes more than 50% of the lesion.	Malignant
C96487	Rectal Serrated Adenocarcinoma		"A rare, invasive rectal adenocarcinoma characterized by the presence of a malignant infiltrate with serrated glandular architecture."	Malignant
C96465	Rectal Sessile Serrated Adenoma/Polyp	Rectal SSA/P|Rectal SSA|Rectal SSP|Rectal Sessile Serrated Adenoma|Rectal Sessile Serrated Polyp	A polyp that arises from the rectum.  It is characterized by the presence of serrated glands and the absence of generalized dysplasia.  Some authors have suggested that it is a precursor lesion for some adenocarcinomas with microsatellite instability.	Benign
C9168	Rectal Signet Ring Cell Adenocarcinoma	Signet Ring Adenocarcinoma of Rectum|Signet Ring Adenocarcinoma of the Rectum|Signet Ring Cell Adenocarcinoma of Rectum|Signet Ring Cell Adenocarcinoma of the Rectum	An infiltrating adenocarcinoma arising from the rectum.  It is characterized by the presence of malignant glandular cells with prominent intracytoplasmic mucin.  These cells constitute more than 50% of the malignant cellular population.	Malignant
C60639	Rectal Small Cell Neuroendocrine Carcinoma	Rectal Small Cell Carcinoma	"An aggressive, high-grade, and poorly differentiated carcinoma with neuroendocrine differentiation that arises from the rectum.  It is characterized by the presence of malignant small cells."	Malignant
C5554	Rectal Squamous Cell Carcinoma	Rectal Squamous Carcinoma|Squamous Carcinoma of Rectum|Squamous Carcinoma of the Rectum|Squamous Cell Carcinoma of Rectum|Squamous Cell Carcinoma of the Rectum	A very rare rectal carcinoma characterized by the presence of a malignant squamous cell infiltrate.	Malignant
C96463	Rectal Traditional Serrated Adenoma	Rectal Serrated Adenoma Type II|Rectal Serrated Adenoma|Rectal TSA	An adenoma that arises from the rectum.  It is characterized by prominent serration of the glands and the presence of generalized low-grade dysplasia.	Benign
C96477	Rectal Tubular Adenoma		A usually polypoid neoplasm that arises from the glandular epithelium of the rectal mucosa. It is characterized by a tubular architectural pattern. The neoplastic glandular cells have dysplastic features.	Benign
C5620	Rectal Tubulovillous Adenoma	Rectal Villotubular Adenoma|Tubulovillous Adenoma of Rectum|Tubulovillous Adenoma of the Rectum|Villotubular Adenoma of Rectum|Villotubular Adenoma of the Rectum	A neoplasm that arises from the glandular epithelium of the rectal mucosa. It is characterized by tubular and villous architectural patterns. The neoplastic glandular cells have dysplastic features.	Benign
C7974	Rectal Undifferentiated Carcinoma	Anaplastic Carcinoma of Rectum|Anaplastic Carcinoma of the Rectum|Carcinoma Simplex of the Rectum.|Rectal Anaplastic Carcinoma|Undifferentiated Carcinoma of Rectum|Undifferentiated Carcinoma of the Rectum|Undifferentiated Rectal Carcinoma	"An invasive malignant epithelial tumor that arises from the rectum.  There is no morphologic, immunophenotypic, or molecular biological evidence of glandular or squamous differentiation."	Malignant
C4919	Rectal Villous Adenoma	Villous Adenoma of Rectum|Villous Adenoma of the Rectum	A neoplasm that arises from the glandular epithelium of the rectal mucosa. It is characterized by a villous architectural pattern. The neoplastic glandular cells have dysplastic features.	Benign
C43584	Rectosigmoid Adenocarcinoma		"An adenocarcinoma arising from the rectosigmoid area.  It is more frequently seen in populations with a Western type diet and in patients with a history of chronic inflammatory bowel disease.  Signs and symptoms include intestinal bleeding, anemia, and change in bowel habits.  According to the degree of cellular differentiation, rectosigmoid adenocarcinomas are divided into well, moderately, and poorly differentiated.  Histologic variants include mucinous adenocarcinoma, signet ring cell carcinoma, medullary carcinoma, serrated adenocarcinoma, cribriform comedo-type adenocarcinoma, and micropapillary adenocarcinoma."	Malignant
C7421	Rectosigmoid Carcinoma	Rectosigmoid Cancer	A malignant epithelial neoplasm that arises from the rectosigmoid area and invades through the muscularis mucosa into the submucosa.  The vast majority are adenocarcinomas.  About 50% of colorectal carcinomas occur in the rectosigmoid area.	Malignant
C43592	Rectosigmoid Mucinous Adenocarcinoma		An invasive adenocarcinoma of the rectosigmoid area characterized by the presence of pools of extracellular mucin.  Malignant glandular epithelial cells are present in the mucin collections.  Mucin constitutes more than 50% of the lesion.	Malignant
C43593	Rectosigmoid Signet Ring Cell Carcinoma		An infiltrating adenocarcinoma arising from the rectosigmoid area.  It is characterized by the presence of malignant glandular cells with prominent intracytoplasmic mucin.  These cells constitute more than 50% of the malignant cellular population.	Malignant
C2872	Refractory Anemia	Aregenerative Anemia|Refractory Anemia	"A myelodysplastic syndrome characterized mainly by dysplasia of the erythroid series.  Refractory anemia is uncommon.  It is primarily a disease of older adults.  The median survival exceeds 5 years.  (WHO, 2001)"	Undetermined
C7506	Refractory Anemia with Excess Blasts	Refractory Anemia with Excess Blasts|Refractory Anemia with an Excess of Blasts	A myelodysplastic syndrome characterized by the presence of 5-19% myeloblasts in the bone marrow or 2-19% blasts in the peripheral blood. It includes two categories: RAEB-1 and RAEB-2. Cases with significant bone marrow reticulin fibrosis are called RAEB with fibrosis.	Undetermined
C4036	Refractory Anemia with Ring Sideroblasts	Pure Sideroblastic Anemia|Refractory Anemia with Ringed Sideroblasts	"A myelodysplastic syndrome characterized by an anemia in which 15% or more of the erythroid precursors are ring sideroblasts.  The ring sideroblast is an erythroid precursor in which one third or more of the nucleus is encircled by granules which are positive for iron stain. (WHO, 2001)"	Undetermined
C82616	Refractory Anemia with Ring Sideroblasts Associated with Marked Thrombocytosis	Essential Thrombocythemia with Ring Sideroblasts	"A provisional entity that encompasses cases with morphologic and clinical characteristics of refractory anemia with ring sideroblasts, marked thrombocytosis, and abnormal megakaryocytes."	Malignant
C82596	Refractory Cytopenia of Childhood		The most common subtype of the myelodysplastic syndromes affecting children. It is characterized by persistent cytopenia with less than 5% blasts in the bone marrow and less than 2% blasts in the peripheral blood.	Undetermined
C8574	Refractory Cytopenia with Multilineage Dysplasia	Refractory Cytopenia with Multilineage Dysplasia	"A myelodysplastic syndrome characterized by bi-cytopenia or pancytopenia and dysplastic changes in 10% or more of the cells in two or more of the myeloid cell lines. (WHO, 2001)"	Undetermined
C27726	Refractory Cytopenia with Multilineage Dysplasia and Ring Sideroblasts	Refractory Cytopenia with Multilineage Dysplasia and Ringed Sideroblasts	"A myelodysplastic syndrome characterized by bi-cytopenia or pancytopenia, dysplastic changes in 10% or more of the cells in two or more of the myeloid cell lines, and 15% or more ring sideroblasts in the bone marrow.  (WHO, 2001)"	Undetermined
C82591	Refractory Cytopenia with Unilineage Dysplasia		"A myelodysplastic syndrome characterized by dysplastic changes involving only one myeloid cell lineage in the bone marrow. It primarily affects older adults and includes refractory anemia, refractory neutropenia, and refractory thrombocytopenia."	Undetermined
C82593	Refractory Neutropenia		A myelodysplastic syndrome characterized by the presence of at least 10% dysplastic neutrophils in the bone marrow or the peripheral blood.	Undetermined
C82594	Refractory Thrombocytopenia		"A myelodysplastic syndrome characterized by the presence of at least 10% dysplastic megakaryocytes, found within at least 30 megakaryocytes examined in the bone marrow."	Undetermined
C9385	Renal Cell Carcinoma	"Adenocarcinoma of Kidney|Adenocarcinoma of the Kidney|Kidney Adenocarcinoma|Renal Cell Adenocarcinoma|Renal Cell Cancer|Renal Cell Carcinoma, Stage Unspecified|Renal Cell Carcinoma"	"A carcinoma arising from the renal parenchyma.  There is a strong correlation between cigarette smoking and the development of renal cell carcinoma.  The clinical presentation includes : hematuria, flank pain and a palpable lumbar mass.  A high percentage of renal cell carcinomas are diagnosed when an ultrasound is performed for other purposes.  Radical nephrectomy is the standard intervention procedure.  Renal cell carcinoma is generally considered to be resistant to radiation treatment and chemotherapy."	Malignant
C39802	Renal Cell Carcinoma Associated with inv(X)(p11;q12)			Malignant
C37874	Renal Cell Carcinoma Associated with t(X;1)(p11.2;p34)			Malignant
C37872	Renal Cell Carcinoma Associated with t(X;1)(p11.2;q21)			Malignant
C37876	Renal Cell Carcinoma Associated with t(X;17)(p11.2;q25)			Malignant
C27891	Renal Cell Carcinoma Associated with Xp11.2 Translocations/TFE3 Gene Fusions	Xp11.2 Translocation-Related Renal Cell Carcinoma	"A group of kidney carcinomas characterized by the presence of different translocations involving the chromosome Xp11.2.  These translocations result in the creation of gene fusions involving the TFE3 gene.  Patients are usually children and young adults.  Morphologically, the malignant epithelial cells form papillary patterns.  The clinical behavior of this group of carcinomas is largely unknown."	Malignant
C6142	Renal Pelvis Carcinoma	Carcinoma of Kidney Pelvis|Carcinoma of Renal Pelvis|Carcinoma of the Kidney Pelvis|Carcinoma of the Renal Pelvis|Kidney Pelvis Carcinoma	A carcinoma arising in the renal pelvis.  The majority of renal pelvis carcinomas are transitional cell and less frequently squamous cell carcinomas.	Malignant
C6148	Renal Pelvis Papillary Urothelial Carcinoma	Kidney Pelvis Papillary Carcinoma|Papillary Carcinoma of Kidney Pelvis|Papillary Carcinoma of Renal Pelvis|Papillary Carcinoma of the Kidney Pelvis|Papillary Carcinoma of the Renal Pelvis		Malignant
C7355	Renal Pelvis Urothelial Carcinoma	Renal Pelvis Transitional Cell Carcinoma|Transitional Cell Carcinoma of Renal Pelvis|Transitional Cell Carcinoma of the Renal Pelvis|Urothelial Cell Carcinoma of Renal Pelvis|Urothelial Cell Carcinoma of the Renal Pelvis	A carcinoma that arises from the transitional epithelium of the renal pelvis.  It is associated with tobacco use and usually presents with gross or microscopic hematuria.  Urothelial carcinomas of the renal pelvis are usually of higher grade and higher stage compared to bladder urothelial carcinomas.	Malignant
C27511	Retiform Hemangioendothelioma	Hobnail Hemangioendothelioma	"An intermediate, locally aggressive and rarely metastasizing blood vessel neoplasm.  It is characterized by the presence of hobnail endothelial cells and formation of arborizing vascular channels."	Undetermined
C39783	Retinal Hemangioblastoma	Retinal Capillary Hemangioblastoma		Undetermined
C7541	Retinoblastoma		"A malignant tumor that originates in the nuclear layer of the retina. As the most common primary tumor of the eye in children, retinoblastoma is still relatively uncommon, accounting for only 1% of all malignant tumors in pediatric patients. Approximately 95% of cases are diagnosed before age 5. These tumors may be multifocal, bilateral, congenital, inherited, or acquired. Seventy-five percent of retinoblastomas are unilateral; 60% occur sporadically. A predisposition to retinoblastoma has been associated with 13q14 cytogenetic abnormalities. Patients with the inherited form also appear to be at increased risk for secondary nonocular malignancies such as osteosarcoma, malignant fibrous histiocytoma, and fibrosarcoma."	Malignant
C66812	Retinocytoma		"A rare, unilateral or bilateral benign retinal neoplasm. Since there is a risk of malignant transformation to retinoblastoma, patients should be closely observed."	Benign
C7352	Retroperitoneal Carcinoma	Carcinoma of Retroperitoneum|Carcinoma of the Retroperitoneum	A rare carcinoma that arises from the retroperitoneal space.	Malignant
C6909	Rhabdoid Meningioma	Rhabdoid Meningioma	A WHO grade III meningioma characterized by the predominant presence of rhabdoid cells forming sheets.	Malignant
C3808	Rhabdoid Tumor		"An aggressive malignant embryonal neoplasm usually occurring during childhood.  It is characterized by the presence of large cells with abundant cytoplasm, large eccentric nucleus, and a prominent nucleolus and it is associated with abnormalities of chromosome 22.  It can arise from the central nervous system, kidney, and the soft tissues.  The prognosis is poor."	Malignant
C8715	Rhabdoid Tumor of the Kidney	Kidney Rhabdoid Tumor|Malignant Rhabdoid Tumor of Kidney|Malignant Rhabdoid Tumor of the Kidney|Renal Rhabdoid Neoplasm|Renal Rhabdoid Tumor|Rhabdoid Neoplasm of Kidney|Rhabdoid Neoplasm of the Kidney|Rhabdoid Tumor of the Kidney (RTK)|Rhabdoid Tumour of Kidney|Rhabdoid Tumour of the Kidney	"A rhabdoid tumor that arises from the kidney.  It occurs in children and it is associated with abnormalities of chromosome 22. It is characterized by the presence of cells with a large eccentric nucleus, prominent nucleolus, and abundant cytoplasm.  The prognosis is poor."	Malignant
C3358	Rhabdomyoma		A benign mesenchymal tumor arising from skeletal or cardiac muscle.	Benign
C3359	Rhabdomyosarcoma		A rare aggressive malignant mesenchymal neoplasm arising from skeletal muscle. It usually occurs in children and young adults. Only a small percentage of tumors arise in the skeletal muscle of the extremities. The majority arise in other anatomical sites.	Malignant
C4259	Rhabdomyosarcoma with Mixed Embryonal and Alveolar Features	Mixed Alveolar Rhabdomyosarcoma|Mixed Type Alveolar Rhabdomyosarcoma	"A rhabdomyosarcoma composed of embryonic and alveolar components. It is characterized by the presence of spindle cells with myoblastic differentiation, a myxoid stroma, and fibrous septa.  These tumors were previously considered variants of alveolar rhabdomyosarcoma.  The lack of PAX3-FOXO1 fusions in most of these tumors suggests that are biologically and clinically related to embryonal rhabdomyosarcoma."	Malignant
C67559	Rosette-Forming Glioneuronal Tumor of the Fourth Ventricle		A recently described central nervous system neoplasm arising from the fourth ventricle.  It is characterized by the presence of neurocytes forming pseudorosettes and astrocytes which contain Rosenthal fibers. Cytologic atypia is minimal.	Undetermined
C8021	Salivary Gland Adenocarcinoma	Adenocarcinoma of Salivary Gland|Adenocarcinoma of the Salivary Gland	"An adenocarcinoma arising from the salivary gland.  It includes the salivary gland polymorphous low grade adenocarcinoma, salivary gland oncocytic carcinoma, salivary gland mucinous adenocarcinoma, salivary gland low grade cribriform cystadenocarcinoma, salivary gland cystadenocarcinoma, salivary gland basal cell adenocarcinoma, salivary gland acinic cell carcinoma, salivary duct carcinoma, and salivary gland adenocarcinoma not otherwise specified."	Malignant
C8026	Salivary Gland Adenoid Cystic Carcinoma	Adenoid Cystic Carcinoma of Salivary Gland|Adenoid Cystic Carcinoma of the Salivary Gland	"An adenoid cystic carcinoma arising from the salivary gland.  It is characterized by the presence of epithelial and myoepithelial cells forming tubular, cribriform, and solid patterns.  It usually presents as a slow growing mass.  Patients may experience pain because of the tumor propensity for perineural invasion.  The tumor may follow an aggressive clinical course with recurrences and mestastases to distant sites including lungs, bones, brain, and liver."	Malignant
C35737	Salivary Gland Adenosquamous Carcinoma		"A rare, aggressive carcinoma that arises from the salivary glands.  It is characterized by the presence of a squamous and a glandular epithelial component."	Malignant
C9272	Salivary Gland Carcinoma	Carcinoma of Salivary Gland|Carcinoma of the Salivary Gland	"A carcinoma that arises from the major or minor salivary glands.  Representative examples include carcinoma ex pleomorphic adenoma, adenocarcinoma, adenoid cystic carcinoma, and mucoepidermoid carcinoma."	Malignant
C40410	Salivary Gland Carcinoma ex Pleomorphic Adenoma		"A carcinoma that arises from a pleomorphic adenoma in the salivary glands.  It usually originates in the parotid gland.  Patients usually present with a history of a long-standing tumor mass which grew rapidly in the past few months.  Patients with non-invasive or minimally invasive carcinoma have an excellent prognosis.  In cases where there is invasion of the surrounding tissues, the clinical course is aggressive."	Malignant
C62191	"Salivary Gland Clear Cell Carcinoma, Not Otherwise Specified"	"Salivary Gland Clear Cell Carcinoma, NOS"	"A carcinoma that arises from the salivary glands, most often the minor salivary glands.  It is characterized by the presence of a monomorphic population of malignant epithelial cells with clear cytoplasm and the absence of morphologic features that define other primary neoplasms of the salivary glands."	Malignant
C35701	Salivary Gland Epithelial Myoepithelial Carcinoma		"A carcinoma that arises from the salivary glands, most often the parotid gland.  It presents as a slow growing and painless mass.  It is characterized by the presence of duct-like structures lined by two layers of cells, an inner layer composed of epithelial-type cells and an outer layer composed of clear, myoepithelial-type cells."	Malignant
C35736	Salivary Gland Lymphoepithelial Carcinoma	Lymphoepithelial Salivary Gland Carcinoma	"A rare carcinoma that arises from the salivary glands, most often the parotid gland.  It is characterized by the presence of an undifferentiated carcinomatous component associated with a prominent reactive lymphoplasmacytic infiltrate."	Malignant
C3686	Salivary Gland Monomorphic Adenoma		A benign epithelial neoplasm arising from the salivary glands. It is characterized by the presence of a monomorphic cellular infiltrate.	Benign
C5908	Salivary Gland Mucoepidermoid Carcinoma	Mucoepidermoid Carcinoma of Salivary Gland|Mucoepidermoid Carcinoma of the Salivary Gland	"A carcinoma that arises from the salivary glands.  It is the most common primary carcinoma of the salivary glands and usually presents as a firm and painless mass.  It is characterized by the presence of epidermoid cells, mucus producing cells, and cells of intermediate type.  The majority of cases have a favorable outcome."	Malignant
C35700	Salivary Gland Myoepithelial Carcinoma		"A locally aggressive carcinoma that arises from the salivary glands, predominantly the parotid gland.  It is characterized by the presence of a malignant cellular infiltrate which exhibits myoepithelial differentiation.  Patients usually present with a painless mass."	Malignant
C40409	Salivary Gland Pleomorphic Adenoma	Benign Mixed Salivary Gland Neoplasm|Benign Mixed Salivary Gland Tumor|Benign Mixed Salivary Neoplasm|Benign Mixed Salivary Tumor	"A benign, slow-growing tumor composed of cells that demonstrate both epithelial and mesenchymal differentiation. It is the most common neoplasm of salivary gland origin, and mostly occurs in the parotid gland. The average age of patients has been reported to be 43 years; women are more often affected than men. The malignant change rate has been estimated to be 6%. The malignant counterpart is carcinoma ex pleomorphic adenoma."	Benign
C35703	Salivary Gland Small Cell Carcinoma	Anaplastic Small Cell Carcinoma of Salivary Gland|Anaplastic Small Cell Carcinoma of the Salivary Gland|Neuroendocrine Carcinoma of Salivary Gland|Neuroendocrine Carcinoma of the Salivary Gland|Salivary Gland Anaplastic Small Cell Carcinoma|Salivary Gland Neuroendocrine Carcinoma|Small Cell Salivary Gland Carcinoma	An infrequent small cell carcinoma that arises from the salivary glands and is characterized by the presence of a high number of mitotic figures.	Malignant
