?entity	?entity_label	?definition	?definition_sources	?parents	?synonyms	?comment
<http://purl.obolibrary.org/obo/HP_0012636>	"Retinal vein occlusion"	"Blockage of the retinal vein."	"https://orcid.org/0000-0002-0736-9199"	"Abnormal retinal vascular morphology (HP:0008046)"		"Retinal vein occlusion can lead to edema and ischemia of the retina."
<http://purl.obolibrary.org/obo/HP_0000548>	"Cone/cone-rod dystrophy"			"Retinal dystrophy (HP:0000556)"	"Cone-rod retinal dystrophy, Cone rod dystrophy"	
<http://purl.obolibrary.org/obo/HP_0100842>	"Septo-optic dysplasia"	"Underdevelopment of the optic nerve and absence of the septum pellucidum."	"https://orcid.org/0009-0006-4530-3154"	"Optic nerve hypoplasia (HP:0000609), Absent septum pellucidum (HP:0001331)"	"De Morsier syndrome"	
<http://purl.obolibrary.org/obo/HP_0030499>	"Macular drusen"	"Drusen (singular, 'druse') are tiny yellow or white accumulations of extracellular material (lipofuscin) that build up in Bruch's membrane of the eye. This class refers to the presence of Drusen in the macula."	"https://orcid.org/0000-0002-0736-9199"	"Yellow/white lesions of the macula (HP:0030500), Drusen (HP:0011510)"		
<http://purl.obolibrary.org/obo/HP_0031240>	"Juxtafoveal choroidal neovascularization"	"A type of choroidal neovascularization in which the nearest edge of the area of neovascularization is located 1 to 199 micrometers from the center of the fovea."		"Choroidal neovascularization (HP:0011506)"		
<http://purl.obolibrary.org/obo/HP_0009919>	"Retinoblastoma"	"A tumor of the eye originating from cells of the retina."	"https://orcid.org/0000-0002-0736-9199"	"Retinal neoplasm (HP:0012777), Embryonal neoplasm (HP:0002898), Neuroepithelial neoplasm (HP:0030063)"		
<http://purl.obolibrary.org/obo/HP_0008046>	"Abnormal retinal vascular morphology"	"A structural abnormality of retinal vasculature."	"https://orcid.org/0000-0002-0736-9199"	"Abnormal retinal morphology (HP:0000479), Abnormality of the vasculature of the eye (HP:0008047)"	"Abnormality of the retinal vasculature, Abnormality of retina blood vessels"	
<http://purl.obolibrary.org/obo/HP_0010729>	"Cherry red spot of the macula"	"Pallor of the perifoveal macula of the retina with appearance of a small circular reddish choroid shape as seen through the fovea centralis due to relative transparency of the macula."	"https://orcid.org/0000-0002-0736-9199"	"Abnormal retinal artery morphology (HP:0000630)"	"Macular cherry red spot"	
<http://purl.obolibrary.org/obo/HP_0030667>	"Peripheral retinal neovascularization"	"A type of retinal neovascularization that affects the periphery of the retina."	"PMID:22076700, https://orcid.org/0000-0002-0736-9199"	"Retinal neovascularization (HP:0030666)"		
<http://purl.obolibrary.org/obo/HP_0031613>	"Inferior chorioretinal coloboma"	"Absence of a region of the retina, retinal pigment epithelium, and choroid at the lower part of the fundus."		"Chorioretinal coloboma (HP:0000567)"		
<http://purl.obolibrary.org/obo/HP_0011507>	"Macular flecks"	"Pale often indistinct lesions of the macula."	"https://orcid.org/0000-0001-8727-6592"	"Yellow/white lesions of the macula (HP:0030500)"		
<http://purl.obolibrary.org/obo/HP_0007793>	"Granular macular appearance"	"Mottled (spotted or blotched with different shades) pigmentary abnormality of the macula lutea."	"https://orcid.org/0000-0002-0736-9199"	"Abnormality of macular pigmentation (HP:0008002), Retinal pigment epithelial mottling (HP:0007814)"	"Macular retinal pigment epithelial mottling"	
<http://purl.obolibrary.org/obo/HP_0500059>	"Retinopathy of prematurity zone I"	"Retinopathy which extends from the center of the optic disc to twice the distance from the center of the optic disc to the center of the macula."	"PMID:16009843, ISBN:978-3-319-52190-9"	"Retinopathy of prematurity (HP:0500049)"	"ROP zone 1"	
<http://purl.obolibrary.org/obo/HP_0032118>	"Retinitis"	"Inflammation of the retina of the eye."	"https://orcid.org/0000-0003-0986-4123"	"Abnormal retinal morphology (HP:0000479)"		"Note that the term Chorioretinitis suggests that the origin of the process is predominantly in the choroid while Retinitis suggests that the process is mainly in the retina."
<http://purl.obolibrary.org/obo/HP_0030506>	"Yellow/white lesions of the retina"			"Abnormal retinal morphology (HP:0000479)"		
<http://purl.obolibrary.org/obo/HP_0031611>	"Sub-inner limiting membrane hemorrhage"	"A type of intraretinal hemorrhage that is located in the superficial retina between the inner limiting membrane and the retinal nerve fiber layer."	"PMID:17229799"	"Retinal hemorrhage (HP:0000573)"	"Sub-inner limiting membrane haemorrhage, Sub-ILM hemorrhage, Sub-ILM haemorrhage"	"Preretinal hemorrhages usually occur at the interface between the posterior hyaloid and inner limiting membrane (ILM). Less frequently, they are located in the superficial retina between the ILM and the retinal nerve fiber layer. These sharply demarcated, dome-shaped hemorrhages show a predilection for the macular region and consequently lead to severe visual impairment."
<http://purl.obolibrary.org/obo/HP_0000580>	"Pigmentary retinopathy"	"An abnormality of the retina characterized by pigment deposition. It is typically associated with migration and proliferation of macrophages or retinal pigment epithelial cells into the retina; melanin from these cells causes the pigmentary changes. Pigmentary retinopathy is a common final pathway of many retinal conditions and is often associated with visual loss."	"https://orcid.org/0000-0003-0986-4123"	"Abnormality of retinal pigmentation (HP:0007703)"	"Retinal pigmentary clumping, Pigmentary retinal deposits, Retinal pigment clumping, Retinal pigmentary degeneration"	
<http://purl.obolibrary.org/obo/HP_0500055>	"Retinopathy of prematurity stage 4b"	"A detachment that involves the peripheral retina that involves the macula itself. The detachment usually starts in the temporal periphery although can also involve the nasal retina as well."	"ISBN:978-3-319-52190-9"	"Retinopathy of prematurity stage 4 (HP:0500053)"	"ROP 4b"	
<http://purl.obolibrary.org/obo/HP_0008057>	"Aplasia/Hypoplasia affecting the fundus"			"Abnormal fundus morphology (HP:0001098), Aplasia/Hypoplasia affecting the eye (HP:0008056)"	"Absent/small fundus"	
<http://purl.obolibrary.org/obo/HP_0000480>	"Retinal coloboma"	"A notch or cleft of the retina."	"https://orcid.org/0000-0002-0736-9199"	"Abnormal retinal morphology (HP:0000479), Coloboma (HP:0000589)"	"Hole in the back of the eye"	
<http://purl.obolibrary.org/obo/HP_0025188>	"Retinal vasculitis"	"Inflammation of retinal blood vessels as manifested by perivascular sheathing or cuffing, vascular leakage and/or occlusion."		"Abnormal retinal vascular morphology (HP:0008046)"		"This term refers to the appearance of the retinal vessels on fundoscopy or other investigations. Retinal vasculitis may be associated with other manifestations such as visual impairment."
<http://purl.obolibrary.org/obo/HP_0030504>	"Grouped congenital hypertrophy of retinal pigment epithelium"			"Congenital hypertrophy of retinal pigment epithelium (HP:0007649)"	"Bear track congenital hypertrophy of retinal pigment epithelium"	
<http://purl.obolibrary.org/obo/HP_0030979>	"Dilatation of large choroidal vessels"	"Enlargement of the large blood vessels in the choroid."	"PMID:26026923"	"Abnormal morphology of the choroidal vasculature (HP:0025568)"	"Dilated choroidal vessels"	"Choroidal thickening can be a feature of central serous chorioretinopathy and results from focal or diffuse dilatation of large choroidal vessels, which are commonly localized within areas of increased choroidal vascular permeability on indocyanine green angiography."
<http://purl.obolibrary.org/obo/HP_0007947>	"Pericentral retinitis pigmentosa"	"A subtype of retinitis pigmentosa in which, instead of the pathology starting in the mid-periphery like typical retinitis pigmentosa, the disease starts in the near periphery closer to the vascular arcades and tends to spare the far periphery."	"PMID:28981474, https://orcid.org/0000-0003-0986-4123"	"Rod-cone dystrophy (HP:0000510)"		
<http://purl.obolibrary.org/obo/HP_0200057>	"Marcus Gunn pupil"	"An aberrant pupillary response characterized by (i) Constriction of pupils of both eyes when the light stimulus is applied to the normal eye, and (ii) Dilatation of pupils of both eyes when the light stimulus is rapidly transferred from the normal eye (after brief light exposure to the normal eye) to the affected eye."	"PMID:32491607, PMID:23520419"	"Abnormal optic nerve morphology (HP:0000587)"	"Relative afferent pupil defect, Relative afferent pupillary defect"	
<http://purl.obolibrary.org/obo/HP_0034311>	"Hypoplastic optic chiasm"	"Developmental defect characterized by undergrowth of the optic chiasm."	"PMID:23591992, PMID:23312594"	"Abnormal optic chiasm morphology (HP:0025163)"	"Optic chiasm hypoplasia"	
<http://purl.obolibrary.org/obo/HP_0031605>	"Abnormality of fundus pigmentation"	"Any anomaly of the pigmentation of the fundus, the posterior part of the eye including the retina and optic nerve."		"Abnormal fundus morphology (HP:0001098)"		"Alterations in pigmentation of the fundus are typically not a result of changes in the retina. The variable pigmentation within both RPE and choroid combine to change profoundly the appearance of the normal fundus between individuals. This is partly a racial characteristic and partly genetic."
<http://purl.obolibrary.org/obo/HP_0007649>	"Congenital hypertrophy of retinal pigment epithelium"	"Sharply demarcated, congenital hyperpigmentation of the retinal pigment epithelium."	"HPO_CONTRIBUTOR:DDD_ncarter"	"Hyperpigmentation of the fundus (HP:0011512)"		"This feature is found in around 3-5% of the population and is of no functional significance."
<http://purl.obolibrary.org/obo/HP_0000538>	"Pseudopapilledema"	"Apparent optic disc swelling in the absence of increased intracranial pressure."	"https://orcid.org/0000-0002-0736-9199"	"Abnormal optic disc morphology (HP:0012795)"		"Papilledema is disk edema secondary to increased intracranial pressure."
<http://purl.obolibrary.org/obo/HP_0034987>	"Focal necrotic optic nerve lesion"	"A localized area of cell death, often accompanied by infiltration of inflammatory cells, in the optic nerve."		"Abnormal optic nerve morphology (HP:0000587)"		
<http://purl.obolibrary.org/obo/HP_6000771>	"Abnormal peripapillary microvascular network"	"The density of the deep peripapillary microvascular network (i.e., the number of blood vessels) is below the lower limit of normal. This finding is observable by optical coherence tomography angiography."		"Abnormal optic disc morphology (HP:0012795)"		
<http://purl.obolibrary.org/obo/HP_0001102>	"Angioid streaks of the fundus"	"Irregular lines in the deep retina that are typically configured in a radiating fashion and emanate from the optic disc. Angioid streaks are crack-like dehiscences in abnormally thickened and calcified Bruch's membrane, resulting in atrophy of the overlying retinal pigment epithelium. They may be associated with a number of endocrine, metabolic, and connective tissue abnormalities but are frequently idiopathic."	"PMID:30844178, https://orcid.org/0000-0003-0986-4123, https://orcid.org/0000-0002-0736-9199"	"Abnormal retinal morphology (HP:0000479)"	"Angioid streaks, Angioid streaks, retina, Angioid streaks of the retina, Knapp streaks, Laquer cracks of the retina"	"Angioid streaks result from breaks in a weakened Bruch's membrane."
<http://purl.obolibrary.org/obo/HP_0009711>	"Retinal capillary hemangioma"	"A benign vascular tumor of the retina without any neoplastic characteristics."	"https://orcid.org/0000-0002-0736-9199"	"Hemangioma (HP:0001028), Retinal hamartoma (HP:0009594), Hemangioblastoma (HP:0010797)"	"Retinal hemangioblastoma"	
<http://purl.obolibrary.org/obo/HP_0000660>	"Lipemia retinalis"	"A creamy appearance of the retinal blood vessels that occurs when the concentration of lipids in the blood are extremely increased, with pale pink to milky white retinal vessels and altered pale reflexes from choroidal vasculature."	"PMID:16120862, PMID:10379021"	"Abnormal retinal vascular morphology (HP:0008046)"		"Lipemia retinalis is thought to be directly correlated with the serum triglyceride level; typically, the retinal findings do not occur until the triglyceride level reaches 2500 mg per deciliter (28.2 mmol per liter)."
