?concentration_phenotype	?label	?definition	?parents
<http://purl.obolibrary.org/obo/HP_0032981>	"Absent bronchoalveolar dimeric surfactant-protein B"	"Significantly decreased level or failed detection of surfactant protein B in broncho-alveolar lavage fluid."	"Abnormal bronchoalveolar fluid protein level"
<http://purl.obolibrary.org/obo/HP_0033465>	"Elevated circulating tetradecanoylcarnitine concentration"	"Elevated circulating tetradecanoyl concentration."	"Elevated circulating long-chain acylcarnitine concentration"
<http://purl.obolibrary.org/obo/HP_0034906>	"Increased urine pentacarboxylporphyrin level"	"Concentration of pentacarboxylporphyrin in the urine, normalized for urine concentration, is above the upper limit of normal."	"Porphyrinuria"
<http://purl.obolibrary.org/obo/HP_0032312>	"Decreased circulating globulin level"	"An abnormally reduced concentration of globulins in the blood."	"Abnormal circulating globulin concentration"
<http://purl.obolibrary.org/obo/HP_0034168>	"Reduced circulating interleukin 22 concentration"	"An abnormally decreased concentration of interleukin 22 in the blood circulation."	"Abnormal circulating interleukin 22 concentration"
<http://purl.obolibrary.org/obo/HP_0032418>	"Abnormal HDL subfraction concentration"	"An abnormal concentration of an HDL subfraction, which can be determined by methods such as electrophoresis followed by densitometric determination of the areas under the peaks. Large HDL subfractions are defined as HDL1 (greater than 12 nm), HDL2b (9.7-12 nm), and HDL2a (8.8-9.69 nm). Small HDL subfractions are defined as HDL3a (8.2-8.79 nm), HDL3b (7.8-8.19 nm), and HDL3c (7.20-7.79 nm)."	"Abnormal HDL cholesterol concentration"
<http://purl.obolibrary.org/obo/HP_0045034>	"Elevated urinary aminoisobutyric acid"	"An increased amount of 3-aminoisobutyric acid in the urine."	"Increased urinary non-proteinogenic amino acid level"
<http://purl.obolibrary.org/obo/HP_0033447>	"Elevated circulating isovalerylcarnitine concentration"	"Concentration of O-isovalerylcarnitine in the blood circulation above the upper limit of normal."	"Elevated circulating C5 acylcarnitine concentration"
<http://purl.obolibrary.org/obo/HP_0011021>	"Abnormal circulating enzyme concentration"	"The concentration or activity of an enzyme in the blood circulation is outside of the limits of the normal range."	"Abnormal circulating protein concentration"
<http://purl.obolibrary.org/obo/HP_0004361>	"Abnormal circulating leptin concentration"	"An abnormal concentration of leptin in the blood."	"Abnormal circulating hormone concentration"
<http://purl.obolibrary.org/obo/HP_0001898>	"Increased red blood cell mass"	"The presence of an increased mass of red blood cells in the circulation."	"Polycythemia"
<http://purl.obolibrary.org/obo/HP_0032254>	"Increased circulating copper concentration"	"An abnormally elevated concentration of copper in the blood circulation. This term refers to the total copper concentration."	"Abnormal circulating copper concentration"
<http://purl.obolibrary.org/obo/HP_0410063>	"Increased level of galactonate in red blood cells"	"An increase in the level of galactonate in the red blood cells."	"Abnormal circulating carboxylic acid concentration"
<http://purl.obolibrary.org/obo/HP_0032436>	"Abnormal circulating C-reactive protein concentration"	"Any deviation from the normal concentration of C-reactive protein in the blood circulation."	"Abnormal circulating protein concentration"
<http://purl.obolibrary.org/obo/HP_0031034>	"Abnormal insulin like growth factor binding protein acid labile subunit level"	"A deviation from the normal blood concentration of the insulin like growth factor binding protein acid labile subunit (IGFALS; Entrez Gene ID 3483). The acid-labile subunit (IGFALS) acts in the insulin-like growth (IGF) system by binding circulating IGF1 in a ternary complex with binding protein (IGFBP)-3 to prevent IGF1 from crossing the endothelial barrier."	"Abnormal circulating protein concentration"
<http://purl.obolibrary.org/obo/HP_0004363>	"Abnormal circulating calcium concentration"	"Any deviation from the normal concentration of calcium in the blood circulation."	"Abnormal blood inorganic cation concentration"
<http://purl.obolibrary.org/obo/HP_0002900>	"Hypokalemia"	"An abnormally decreased potassium concentration in the blood."	"Abnormal blood potassium concentration"
<http://purl.obolibrary.org/obo/HP_0032420>	"Increased HDL2a concentration"	"An elevation above the normal concentration of the HDL2a subfraction in the blood circulation. An HDL2a particle is defined as an HDL particle with a size of 8.80-9.69 nm."	"Abnormal HDL2a concentration"
<http://purl.obolibrary.org/obo/HP_0025132>	"Abnormal circulating estrogen level"@en	"A deviation from normal concentration of the hormone estrogen in the blood circulation."	"Abnormal circulating sex hormone concentration"
<http://purl.obolibrary.org/obo/HP_0034605>	"Elevated CSF DOPA concentration"	"Concentration of DOPA (3,4-dihydroxyphenylalanine) in the cerebrospinal fluid above the upper limit of normal."	"Abnormal CSF carboxylic acid concentration"
<http://purl.obolibrary.org/obo/HP_0030860>	"Abnormal CSF amyloid concentration"	"Abnormal concentration of amyloid in the cerebrospinal fluid (CSF)."	"Abnormal CSF protein concentration"
<http://purl.obolibrary.org/obo/HP_0010836>	"Abnormal circulating copper concentration"	"An abnormal concentration of copper."	"Abnormal blood transition element cation concentration"
<http://purl.obolibrary.org/obo/HP_0012509>	"Reduced thyroxin-binding globulin"	"An abnormally decreased amount of thyroxin-binding globulin (TBG) in blood. TBG is responsible for carrying the thyroid hormones thyroxine (T4) and 3,5,3'-triiodothyronine (T3) in the bloodstream."	"Abnormal circulating protein concentration"
<http://purl.obolibrary.org/obo/HP_0003646>	"Bicarbonaturia"	"Abnormally increased concentration of hydrogencarbonate in the urine."	"Abnormality of urine bicarbonate level"
<http://purl.obolibrary.org/obo/HP_0003119>	"Abnormal circulating lipid concentration"	"Any deviation from the normal concentration of a lipid in the blood circulation."	"Abnormal circulating organic compound concentration"
<http://purl.obolibrary.org/obo/HP_0034164>	"Abnormal circulating interleukin 21 concentration"	"Any deviation from the normal range of the concentration of interleukin 21 in the blood circulation."	"Abnormal circulating interleukin concentration"
<http://purl.obolibrary.org/obo/HP_0033404>	"Intestinal ischemia"	"Restriction of arterial blood supply to the intestine associated with insufficient oxygenation to support the metabolic requirements of the tissue. Acute intestinal ischemia can involve the small or large intestine, and usually presents with sudden severe non-specific abdominal pain."	"Tissue ischemia"
<http://purl.obolibrary.org/obo/HP_0032530>	"Decreased succinic semialdehyde dehydrogenase level"	"Reduced level of succinic semialdehyde dehydrogenase (SSADH)."	"Abnormal circulating enzyme concentration or activity"
<http://purl.obolibrary.org/obo/HP_0040209>	"Decreased CSF biopterin level"	"Concentration of biopterin in the cerebrospinal fluid (CSF) below the lower limit of normal."	"Abnormal CSF biopterin concentration"
<http://purl.obolibrary.org/obo/HP_0034511>	"Reduced muscle aconitase activity"	"Diminished activity of the enzyne aconitase in muscle tissue."	"Abnormal muscle tissue enzyme activity or level"
<http://purl.obolibrary.org/obo/HP_6000480>	"Elevated urine manganese level"	"The amount of manganese in the urine, normalized for urine concentration, is above the upper limit of normal."	"Abnormal urinary mineral level"
<http://purl.obolibrary.org/obo/HP_0008150>	"Elevated serum transaminases during infections"	"Elevations of the levels of SGOT (serum glutamic oxaloacetic transaminase) and SGPT (serum glutamic pyruvic transaminase) that occur during infections."	"Elevated circulating hepatic transaminase concentration"
<http://purl.obolibrary.org/obo/HP_0025321>	"Copper accumulation in liver"@en	"An anomalous build up of copper (Cu) in the liver."	"Abnormal liver metabolite concentration"
<http://purl.obolibrary.org/obo/HP_0004365>	"Abnormal circulating tryptophan concentration"	"Any deviation from the normal concentration of tryptophan in the blood circulation."	"Abnormal circulating aromatic amino acid concentration"
<http://purl.obolibrary.org/obo/HP_0030353>	"Decreased serum insulin-like growth factor 1"	"A reduced level of insulin-like growth factor 1 (IGF1) in the blood circulation."	"Abnormal serum insulin-like growth factor 1 level"
<http://purl.obolibrary.org/obo/HP_0031425>	"Increased circulating beta-C-terminal telopeptide concentration"	"A abnormal elevation above the normal concentration of beta-C-terminal telopeptide of type I collagen in the blood circulation."	"Abnormal circulating beta-C-terminal telopeptide concentration"
<http://purl.obolibrary.org/obo/HP_0033068>	"Medication crystalluria"	"A variety of drugs may occasionally cause transient crystalluria, in isolation or in conjunction with other urinary abnormalities. Overdose, dehydration, or hypoalbuminaemia, which increases the unbound drug which is ultrafiltrated by the glomerulus, are the factors usally favoring the precipitation of crystals within the tubular lumina. In some cases, medication-induced crystalluria has a distinct phenotypic appearance. For instance, Sulphadiazine crystals appear as strongly birefringent 'shocks of wheat' or 'shells' with an amber color. Acyclovir crystals are birefringent and needle-shaped, and when present in abundance give to urine a silky and opalescent macroscopic appearance."	"Crystalluria"
<http://purl.obolibrary.org/obo/HP_0410056>	"Decreased CSF erythritol concentration"	"Concentration of erythritol in the cerebrospinal fluid below the lower limit of normal."	"Abnormal CSF metabolite concentration"
<http://purl.obolibrary.org/obo/HP_0010473>	"Porphyrinuria"	"Abnormally increased excretion of porphyrins in the urine."	"Abnormal urine metabolite level"
<http://purl.obolibrary.org/obo/HP_0025483>	"Abnormal circulating thyroglobulin concentration"@en	"A deviation from the normal concentration of thyroglobulin, a protein produced in the thyroid gland that acts as a precursor to thyrroid hormones."	"Abnormal circulating protein concentration"
<http://purl.obolibrary.org/obo/HP_0034160>	"Abnormal circulating interleukin 9 concentration"	"Any deviation from the normal range of the concentration of interleukin 9 in the blood circulation."	"Abnormal circulating interleukin concentration"
<http://purl.obolibrary.org/obo/HP_0500236>	"Increased CSF histidine concentration"@en	"Abnormally increased levels of histidine in cerebrospinal fluid."	"Abnormal CSF histidine concentration"
<http://purl.obolibrary.org/obo/HP_0032331>	"Increased urinary 11-deoxytetrahydrocorticosterone level"	"An abnormally elevated concentration or amount of 11-deoxytetrahydrocorticosterone the urine."	"Abnormal urine hormone level"
<http://purl.obolibrary.org/obo/HP_0010897>	"Hypersarcosinuria"	"An elevated urinary concentration of sarcosine."	"Increased proteinogenic amino acid level in urine"
<http://purl.obolibrary.org/obo/HP_0002902>	"Hyponatremia"	"An abnormally decreased sodium concentration in the blood."	"Abnormal blood sodium concentration"
<http://purl.obolibrary.org/obo/HP_0002908>	"Conjugated hyperbilirubinemia"		"Hyperbilirubinemia"
<http://purl.obolibrary.org/obo/HP_0012613>	"Increased urinary sulfate"	"Elevated concentration of SO4(2-), i.e., sulfate, in the urine."	"Abnormal urinary sulfate concentration"
<http://purl.obolibrary.org/obo/HP_0031419>	"Reduced sex -hormone binding protein level"	"A decreased concentration of sex-hormone binding protein in the circulation."	"Abnormal circulating protein concentration"
<http://purl.obolibrary.org/obo/HP_0004433>	"Secretory IgA deficiency"	"Deficiency of secretory IgA (polymers of 2-4 IgA monomers are linked by two additional chains) and is the primary antibody response at the mucosal level, where it forms immune complexes with pathogens and allergens."	"Decreased immunoglobulin level in body fluid"
<http://purl.obolibrary.org/obo/HP_0032997>	"Decreased cystatin C level"	"A decreased concentration of cystatin C in the blood circulation."	"Abnormal cystatin C level"
<http://purl.obolibrary.org/obo/HP_0031211>	"Elevated cholesterol ester level"	"An elevated concentration of circulating cholesterol esters, which are fatty acid esters of cholesterol and make up about two-thirds of total plasma cholesterol."	"Abnormal circulating cholesterol concentration"
<http://purl.obolibrary.org/obo/HP_6000037>	"Reduced circulating aromatic L-amino acid decarboxylase activity"	"The activity of aromatic L-amino acid decarboxylase (also known as DOPA decarboxylase, tryptophan decarboxylase, and 5-hydroxytryptophan decarboxylase) in the blood circulation is below the lower limit of normal."	"Abnormal circulating enzyme concentration or activity"
<http://purl.obolibrary.org/obo/HP_0034910>	"Increased erythrocyte uroproporphyrin concentration"	"Concentration of uroproporphyrin in erythrocytes above the upper limit of normal."	"Elevated circulating porphyrin concentration"
<http://purl.obolibrary.org/obo/HP_0012605>	"Hypernatriuria"	"An increased concentration of sodium(1+) in the urine."	"Abnormal urine sodium concentration"
<http://purl.obolibrary.org/obo/HP_0032303>	"Lambda Bence Jones proteinuria"	"The presence of free monoclonal lambda immunoglobulin light chains in the urine."	"Bence Jones Proteinuria"
<http://purl.obolibrary.org/obo/HP_0033478>	"Increased circulating lipoprotein lipase concentration"	"Increased concentration of lipoprotein lipase in the blood circulation."	"Abnormal circulating lipoprotein lipase concentration"
<http://purl.obolibrary.org/obo/HP_0430143>	"Elevated circulating C12 acylcarnitine concentration"@en	"Concentration of C12 acylcarnitines in the blood circulation above the upper limit of normal. C12 acylcarnitines have a twelve-carbon acyl chain."	"Elevated circulating medium-chain acylcarnitine concentration"
<http://purl.obolibrary.org/obo/HP_0002918>	"Hypermagnesemia"	"An abnormally increased magnesium concentration in the blood."	"Abnormal magnesium concentration"
<http://purl.obolibrary.org/obo/HP_0034619>	"Decreased circulating membrane cofactor protein concentration"	"Concentration of membrane cofactor protein in the blood circulation below the lower limit of normal."	"Abnormal circulating membrane cofactor protein concentration"
<http://purl.obolibrary.org/obo/HP_0032481>	"Abnormal pituitary glycoprotein hormone alpha subunit level"	"Any deviation from the normal concentration of circulating alpha polypeptide of glycoprotein hormones (NCBI Gene 1081)."	"Abnormal circulating hormone concentration"
<http://purl.obolibrary.org/obo/HP_4000208>	"Reduced erythrocyte galactose-1-phosphate uridylyltransferase activity"@en	"Activity or concentration of in the level of galactose-1-phosphate uridylyltransferase (GALT; EC 2.7.7.12) in erythrocytes below the lower limit of normal."	"Abnormal erythrocyte enzyme level"
<http://purl.obolibrary.org/obo/HP_0032363>	"Decreased circulating corticosterone level"	"An abnormally reduced concentration of corticosterone in the blood."	"Abnormal circulating corticosterone level"
<http://purl.obolibrary.org/obo/HP_6000272>	"Elevated circulating octanoylcarnitine concentration"	"Concentration of octanoylcarnitine (C8:0) in the blood circulation above the upper limit of normal."	"Elevated circulating medium-chain acylcarnitine concentration"
<http://purl.obolibrary.org/obo/HP_0034371>	"Reduced circulating prekallikrein concentration"	"Reduced concentration of prekallikrein (PK; also known as Fletcher factor) in the blood circulation. PK is the precursor of plasma kallikrein, a serine protease that activates kinins. PK is cleaved to produce kallikrein by activated Factor XII."	"Abnormal circulating protein concentration"
<http://purl.obolibrary.org/obo/HP_6000476>	"Elevated circulating tetradecenoylcarnitine concentration"	"The concentration of tetradecenoylcarnitine (C14:1) in the blood circulation is above the upper limit of normal."	"Elevated circulating tetradecanoylcarnitine concentration"
<http://purl.obolibrary.org/obo/HP_0033091>	"Tyrosinuria"	"An abnormally increased level of tyrosine in the urine."	"Increased aromatic amino acid level in urine"
<http://purl.obolibrary.org/obo/HP_6000485>	"Elevated circulating beta chorionic gonadotropin concentration"	"The concentration of beta chorionic gonadotropin in the blood circulation is above the upper limit of normal."	"Abnormal circulating protein concentration"
<http://purl.obolibrary.org/obo/HP_0008269>	"Increased red cell hemolysis by shear stress"		"Hemolytic anemia"
<http://purl.obolibrary.org/obo/HP_0010472>	"Abnormal circulating porphyrin concentration"	"An abnormality in the synthesis or catabolism of heme. Heme is composed of ferrous iron and protoporphyrin IX and is an essential molecule as the prosthetic group of hemeproteins such as hemoglobin, myoglobin, mitochondrial and microsomal cytochromes."	"Abnormal circulating organic compound concentration"
<http://purl.obolibrary.org/obo/HP_0031138>	"Abnormal B-type natriuretic peptide concentration"	"A deviation from the normal circulating concentration of B-type natriuretic peptide (BNP)."	"Abnormal circulating protein concentration"
<http://purl.obolibrary.org/obo/HP_0034650>	"Elevated urine suberylglycine level"	"Level of suberylglycine in urine above upper limit of normal."	"Abnormal urine carboxylic acid level"
<http://purl.obolibrary.org/obo/HP_0034735>	"Elevated CSF aspartylglucosamine concentration"	"Concentration of aspartylglucosamine in the cerebrospinal fluid (CSF) above the upper limit of normal."	"Abnormal CSF amino acid concentration"
<http://purl.obolibrary.org/obo/HP_0003223>	"Decreased circulating methylcobalamin concentration"	"The concentration of methylcobalamin in the blood circulation is below the lower limit of normal. Methylcobalamin is a form of vitamin B12."	"Abnormal circulating vitamin B12 concentration"
<http://purl.obolibrary.org/obo/HP_0041048>	"Decreased expression of GPI-anchored proteins on the cell surface"	"A decrease in the protein expression of GPI-anchor proteins, such as CD55 and CD59, at the cell surface, which suggests a defect in GPI-anchor biosynthesis."	"Reduced cell surface marker level"
<http://purl.obolibrary.org/obo/HP_6000331>	"Elevated urinary thymine level"	"The amount of thymine in the urine, normalized for urine concentration, is above the upper limit of normal."	"Abnormal urinary pyrimidine level"
<http://purl.obolibrary.org/obo/HP_0032437>	"Reduced circulating C-reactive protein concecntration"	"An abnormal decrease of the C-reactive protein level in serum."	"Abnormal circulating C-reactive protein concentration"
<http://purl.obolibrary.org/obo/HP_0002152>	"Hyperproteinemia"	"An increased concentration of proteins in the blood."	"Abnormal circulating protein concentration"
<http://purl.obolibrary.org/obo/HP_0010912>	"Abnormal circulating isoleucine concentration"	"Any deviation from the normal concentration of isoleucine in the blood circulation."	"Abnormal circulating branched chain amino acid concentration"
<http://purl.obolibrary.org/obo/HP_0034885>	"Abnormal urinary uromodulin level"	"The concentration of uromodulin (also known as Tamm Horsfall protein) in the urine, normalized for usine concentration, is outside the limits of normal."	"Abnormal urine protein level"
<http://purl.obolibrary.org/obo/HP_0003162>	"Fasting hypoglycemia"		"Hypoglycemia"
<http://purl.obolibrary.org/obo/HP_0410194>	"Increased uridine diphosphate glucose-4-epimerase level in plasma"	"An increase in uridine diphosphate glucose-4-epimerase level in plasma. Uridine diphosphate glucose-4-epimerase catalyzes the reaction: UDP-glucose = UDP-galactose."	"Abnormal uridine diphosphate glucose-4-epimerase level in plasma"
<http://purl.obolibrary.org/obo/HP_0410061>	"Increased level of galactitol in plasma"	"An increase in the level of galactitol in the plasma."	"Abnormal circulating carbohydrate concentration"
<http://purl.obolibrary.org/obo/HP_0034860>	"Reduced leukocyte alpha-L-fucosidase activity"	"Concentration or activity of an alpha-L-fucosidase as measured in leukocytes is below the limits of normal."	"Abnormal leukocyte enzyme concentration or activity"
<http://purl.obolibrary.org/obo/HP_0010903>	"Abnormal circulating glutamine concentration"	"Any deviation from the normal concentration of glutamine in the blood circulation."	"Abnormal circulating glutamine family amino acid concentration"
<http://purl.obolibrary.org/obo/HP_0031085>	"Decreased circulating prealbumin concentration"	"Concentration of prealbumin in the blood circulation below the lower limit of normal. Prealbumin, also known as transthyretin, has a half-life in plasma of about 2 days, much shorter than that of albumin. Prealbumin is therefore more sensitive to changes in protein-energy status than albumin, and its concentration closely reflects recent dietary intake rather than overall nutritional status."	"Abnormal circulating prealbumin concentration"
<http://purl.obolibrary.org/obo/HP_0004358>	"Abnormality of superoxide metabolism"		"Abnormal circulating enzyme concentration or activity"
<http://purl.obolibrary.org/obo/HP_0011936>	"Decreased plasma total carnitine"	"A decreased concentration of total carnitine in the blood."	"Decreased circulating carnitine concentration"
<http://purl.obolibrary.org/obo/HP_0032575>	"Decreased circulating 12-HETE"	"A reduction in the concentration of 12-HETE in the blood circulation, a metabolite of arachidonic acid."	"Abnormal circulating unsaturated fatty acid concentration"
<http://purl.obolibrary.org/obo/HP_0410241>	"Abnormal circulating IgE level"	"An abnormal deviation from normal levels of IgE immunoglobulin in blood."	"Abnormal immunoglobulin level"
<http://purl.obolibrary.org/obo/HP_4000189>	"Elevated circulating neuron-specific enolase concentration"@en	"Concentration of neuron-specific enolase above the upper limit of normal in the blood circulation."	"Abnormal circulating enzyme concentration or activity"
<http://purl.obolibrary.org/obo/HP_0031553>	"Reduced granulocyte surface marker level"	"Reduced level of a protein that is normally present on the granulocyte surface as assessed by flow cytometry."	"Reduced cell surface marker level"
<http://purl.obolibrary.org/obo/HP_0000825>	"Hyperinsulinemic hypoglycemia"	"An increased concentration of insulin combined with a decreased concentration of glucose in the blood."	"Hyperinsulinemia"
<http://purl.obolibrary.org/obo/HP_0002140>	"Ischemic stroke"	"Acute ischemic stroke (AIS) is defined by the sudden loss of blood flow to an area of the brain with the resulting loss of neurologic function. It is caused by thrombosis or embolism that occludes a cerebral vessel supplying a specific area of the brain. During a vessel occlusion, there is a core area where damage to the brain is irreversible and an area of penumbra where the brain has lost function owing to decreased blood flow but is not irreversibly injured."	"Cerebral ischemia"
<http://purl.obolibrary.org/obo/HP_0032932>	"Increased circulating pancreatic triacylglycerol lipase level"	"An increased level of triacylglycerol lipase in the blood circulation (can be measured in serum or plasma)."	"Abnormal circulating enzyme concentration or activity"
<http://purl.obolibrary.org/obo/HP_0034648>	"Elevated urine fumaric acid level"	"The concentration of fumaric acid in the urine, normalized for urine concentration, is above the upper limit of normal."	"Dicarboxylic aciduria"
<http://purl.obolibrary.org/obo/HP_0010996>	"Abnormal circulating monocarboxylic acid concentration"	"Any deviation from the normal concentration of a monocarboxylic acid in the blood circulation."	"Abnormal circulating carboxylic acid concentration"
<http://purl.obolibrary.org/obo/HP_0003349>	"Low cholesterol esterification rate"	"A reduction in the rate of cholesterol esterification."	"Abnormal circulating enzyme concentration or activity"
<http://purl.obolibrary.org/obo/HP_0010917>	"Abnormal circulating tyrosine concentration"	"Any deviation from the normal concentration of tyrosine in the blood circulation."	"Abnormal circulating aromatic amino acid concentration"
<http://purl.obolibrary.org/obo/HP_0011012>	"Abnormal circulating polysaccharide concentration"	"A deviation from the normal concentration of a polysaccharide in the blood circulation."	"Abnormal circulating carbohydrate concentration"
<http://purl.obolibrary.org/obo/HP_0011998>	"Postprandial hyperglycemia"	"An increased concentration of glucose in the blood following a meal."	"Hyperglycemia"
<http://purl.obolibrary.org/obo/HP_6000238>	"Elevated CSF 5-amino-4-imidazolecarboxyamide concentration"	"The concentration of 5-amino-4-imidazolecarboxyamide in the cerebrospinal fluid (CSF) is above the upper limit of normal."	"Abnormal CSF metabolite concentration"
<http://purl.obolibrary.org/obo/HP_0031557>	"Reduced fibroblast CD55 level"	"Reduced level of CD55 on the fibroblast surface as assessed by flow cytometry."	"Reduced fibroblast surface marker level"
<http://purl.obolibrary.org/obo/HP_0031028>	"Lactescent serum"	"Serum sample with a grossly white (milk-like, i.e., lactescent) appearance. This feature is indicative of an extremely elevated serum triglyceride level."	"Hypertriglyceridemia"
<http://purl.obolibrary.org/obo/HP_0034903>	"Decreased circulating calcitonin concentration"	"Concentration of calcitonin, a 32-amino acid polypeptide hormone that is produced primarily by the parafollicular cells of the thyroid, in the blood circulation below the lower limit of normal."	"Abnormal circulating calcitonin concentration"
<http://purl.obolibrary.org/obo/HP_0034444>	"Abnormal gamma-glutamyltransferase level"	"Any deviation from the normal level of the enzyme gamma-glutamyltransferase (GGT). GGT is mainly present in kidney, liver, and pancreatic cells, but small amounts are present in other tissues."	"Abnormal circulating enzyme concentration or activity"
<http://purl.obolibrary.org/obo/HP_0410212>	"Hyperoxemia in cord blood"	"An abnormally high level of blood oxygen in the cord blood."	"Abnormal oxygen level in cord blood"
<http://purl.obolibrary.org/obo/HP_0500013>	"Lack of gonadotropin-releasing hormone pulsatility"	"Secretion of gonadotropin-releasing hormone that does not occur in a pulsatile fashion."	"Abnormal gonadotropin-releasing hormone concentration"
<http://purl.obolibrary.org/obo/HP_0034456>	"Elevated circulating glutathione concentration"	"An abnormally increased level of glutathione in the blood circulation."	"Abnormal circulating non-proteinogenic amino acid concentration"
<http://purl.obolibrary.org/obo/HP_0034390>	"Decreased CSF glycine concentration"	"Abnormally decreased levels of glycine in cerebrospinal fluid."	"Abnormal CSF glycine concentration"
<http://purl.obolibrary.org/obo/HP_0034744>	"Elevated urinary S-sulfocysteine level"	"Level of S-sulfocysteine high in urine above the upper limit of normal."	"Increased urinary non-proteinogenic amino acid level"
<http://purl.obolibrary.org/obo/HP_0032290>	"Monoclonal elevation of IgG"	"An increase in circulating immunoglobulins characterized by a single band in serum electrophoresis but not the broad diffuse band that characterizes a polyclonal increase in circulating immunoglobulins."	"Increased circulating IgG level"
<http://purl.obolibrary.org/obo/HP_0031439>	"Abnormal angiostatin level"	"A deviation from the normal concentration in the circulation of angiostatin, an endogenous angiogenesis inhibitor, which blocks the growth of new blood vessels."	"Abnormal circulating beta globulin level"
<http://purl.obolibrary.org/obo/HP_6000419>	"Elevated circulating proinsulin concentration"	"The concentration of proinsulin in the blood circulation is above the upper limit of normal."	"Abnormal circulating hormone concentration"
<http://purl.obolibrary.org/obo/HP_0410178>	"Increased glucose-6-phosphate dehydrogenase level in blood"	"An increase in the level of glucose-6-phosphate dehydrogenase in the blood."	"Abnormal glucose-6-phosphate dehydrogenase level in blood"
<http://purl.obolibrary.org/obo/HP_6000438>	"Reduced urinary iodine level"	"The amount of iodine in the urine, normalized for urine concentration, is above the upper limit of normal."	"Abnormal urinary mineral level"
<http://purl.obolibrary.org/obo/HP_0034600>	"Elevated circulating thrombopoietin concentration"	"Concentration of thrombopoietin in the blood circulation above the upper limit of normal. Thrombopoietin is a glycoprotein hormone produced by the liver and kidney that stimulates the production and differentiation of megakaryocytes."	"Abnormal circulating hormone concentration"
<http://purl.obolibrary.org/obo/HP_0005982>	"Reduced phenylalanine hydroxylase level"	"A reduction in phenylalanine 4-monooxygenase level."	"Abnormal circulating enzyme concentration or activity"
<http://purl.obolibrary.org/obo/HP_0410193>	"Abnormal uridine diphosphate glucose-4-epimerase level in plasma"	"An abnormality in uridine diphosphate glucose-4-epimerase level in plasma. Uridine diphosphate glucose-4-epimerase catalyzes the reaction: UDP-glucose = UDP-galactose."	"Abnormal uridine diphosphate glucose-4-epimerase level"
<http://purl.obolibrary.org/obo/HP_0020062>	"Decreased hemoglobin concentration"	"An abnormal reduction below normal hemoglobin concentration in the circulation."	"Abnormal hemoglobin concentration"
<http://purl.obolibrary.org/obo/HP_0031099>	"Abnormal circulating inhibin level"	"Any deviation from the normal concentration of inhibins, which are heterodimeric protein hormones secreted by granulosa cells of the ovary in females and Sertoli cells of the testis in males. Inhibins suppress the secretion of pituitary follicle-stimulating hormone."	"Abnormal circulating hormone concentration"
<http://purl.obolibrary.org/obo/HP_0010900>	"Abnormal circulating threonine concentration"	"Any deviation from the normal concentration of threonine in the blood circulation."	"Abnormal circulating aspartate family amino acid concentration"
<http://purl.obolibrary.org/obo/HP_0040425>	"Abnormal urinary hypoxanthine level"	"The concentration of hypoxanthine in the urine, normalized for urine concentration, is outside of normal limits."	"Abnormal urinary purine level"
<http://purl.obolibrary.org/obo/HP_0025157>	"Increased urinary sedoheptulose"@en	"An increased concentration of sedoheptulose in the urine. Sedoheptulose is a monosaccharide with seven carbon atoms and a ketone functional group."	"Abnormal urine carbohydrate level"
<http://purl.obolibrary.org/obo/HP_0010910>	"Hypervalinemia"	"An increased concentration of valine in the blood."	"Abnormal circulating valine concentration"
<http://purl.obolibrary.org/obo/HP_6000333>	"Reduced hepatic phosphorylase kinase activity"	"Activity of phosphorylase kinase in liver tissue below the lower limit of normal. Phosphorylase kinase (PhK) has a major regulatory role in the breakdown of glycogen. The enzyme PhK comprises four copies each of four subunits, encoded by PHKA1, PHKA2, PHKB, and PHKG."	"Abnormal liver enzyme activity or concentration"
<http://purl.obolibrary.org/obo/HP_0034929>	"Reduced hepatic cystathionine gamma-lyase activity"	"Activity of cystathionine gamma-lyase in the liver below the lower limit of normal."	"Abnormal liver enzyme activity or concentration"
<http://purl.obolibrary.org/obo/HP_0033148>	"Increased circulating isovaleric acid concentration"	"Increased concentration of isovaleric acid, a C5, branched-chain saturated fatty acid, in the blood concentration."	"Abnormal circulating short-chain fatty-acid concentration"
<http://purl.obolibrary.org/obo/HP_0008158>	"Hyperapobetalipoproteinemia"	"Hyperapobetalipoproteinemia is defined as the combination of a normal low density lipoprotein (LDL) cholesterol in the face of an increased LDL apolipoprotein B (apoB) protein."	"Abnormal circulating lipid concentration"
<http://purl.obolibrary.org/obo/HP_0020184>	"Decreased circulating A-type natriuretic peptide concentration"	"A measurable reduction in circulating levels of Atrial natriuretic peptide hormone, a protein which plays an important role in the regulation of body fluid volume and blood pressure."	"Abnormal circulating A-type atrial natriuretic peptide concentration"
<http://purl.obolibrary.org/obo/HP_0010916>	"Abnormal circulating alanine concentration"	"An abnormality of an alanine metabolic process."	"Abnormal circulating pyruvate family amino acid concentration"
<http://purl.obolibrary.org/obo/HP_0003112>	"Abnormal circulating amino acid concentration"	"The presence of an abnormal decrease or increase of one or more amino acids in the blood circulation."	"Abnormal circulating carboxylic acid concentration"
<http://purl.obolibrary.org/obo/HP_0008339>	"Diaminoaciduria"	"An increased urine level of any amino acid carrying two amino groups (Asparagine, glutamine and lysine, cystine, ornithine)."	"Increased proteinogenic amino acid level in urine"
