?term	?property	?translation_lang	?original_value	?translation
<http://purl.obolibrary.org/obo/HP_0005897>	<http://www.w3.org/2000/01/rdf-schema#label>		"Severe generalized osteoporosis"	"Ostéoporose sévère généralisée"@fr
<http://purl.obolibrary.org/obo/HP_0020046>	<http://www.w3.org/2000/01/rdf-schema#label>		"Accommodative esotropia"	"Ésotropie accommodative"@fr
<http://purl.obolibrary.org/obo/HP_0100314>	<http://www.w3.org/2000/01/rdf-schema#label>		"Cerebral inclusion bodies"	"Corps d'inclusion cérébraux"@fr
<http://purl.obolibrary.org/obo/HP_0500036>	<http://www.w3.org/2000/01/rdf-schema#label>		"Nasolacrimal sac papilloma"	"Papillome du sac nasolacrimal "@fr
<http://purl.obolibrary.org/obo/HP_0100155>	<http://www.w3.org/2000/01/rdf-schema#label>		"Stippling of the epiphysis of the middle phalanx of the 3rd toe"	"Calcifications ponctuées de l'épiphyse des phalanges moyennes du troisième orteil"@fr
<http://purl.obolibrary.org/obo/HP_0410290>	<http://www.w3.org/2000/01/rdf-schema#label>		"Positive urine norpropoxyphene test"	"Test urinaire positif au norpropoxyphène"@fr
<http://purl.obolibrary.org/obo/HP_0010301>	<http://www.w3.org/2000/01/rdf-schema#label>		"Spinal dysraphism"	"Dysraphisme spinal"@fr
<http://purl.obolibrary.org/obo/HP_0006633>	<http://www.w3.org/2000/01/rdf-schema#label>		"Glenoid fossa hypoplasia"	"Hypoplasie de la fosse glénoïdienne"@fr
<http://purl.obolibrary.org/obo/HP_0031567>	<http://www.w3.org/2000/01/rdf-schema#label>		"Abnormal aortic valve cusp morphology"	"Morphologie anormale de la cuspide de la valve aortique"@fr
<http://purl.obolibrary.org/obo/HP_0000265>	<http://www.w3.org/2000/01/rdf-schema#label>		"Mastoiditis"	"Mastoïdite"@fr
<http://purl.obolibrary.org/obo/HP_0009119>	<http://www.w3.org/2000/01/rdf-schema#label>		"Aplasia/Hypoplasia of the frontal sinuses"	"Aplasie/hypoplasie des sinus frontaux"@fr
<http://purl.obolibrary.org/obo/HP_0001840>	<http://www.w3.org/2000/01/rdf-schema#label>		"Metatarsus adductus"	"Metatarsus adductus"
<http://purl.obolibrary.org/obo/HP_0100847>	<http://www.w3.org/2000/01/rdf-schema#label>		"Palmoplantar pustulosis"	"Pustulose palmoplantaire"@fr
<http://purl.obolibrary.org/obo/HP_0006960>	<http://www.w3.org/2000/01/rdf-schema#label>		"Choroid plexus calcification"	"Calcification des plexus choroïdes"@fr
<http://purl.obolibrary.org/obo/HP_0000886>	<http://www.w3.org/2000/01/rdf-schema#label>		"Deformed rib cage"	"Cage thoracique déformée"@fr
<http://purl.obolibrary.org/obo/HP_0002883>	<http://www.w3.org/2000/01/rdf-schema#label>		"Hyperventilation"	"Hyperventilation"
<http://purl.obolibrary.org/obo/HP_0005340>	<http://www.w3.org/2000/01/rdf-schema#label>		"Spastic/hyperactive bladder"	"Vessie hyperactive/spastique"@fr
<http://purl.obolibrary.org/obo/HP_0006391>	<http://www.w3.org/2000/01/rdf-schema#label>		"Overtubulated long bones"	"Os longs surmaturés"@fr
<http://purl.obolibrary.org/obo/HP_0002508>	<http://www.w3.org/2000/01/rdf-schema#label>		"Brainstem dysplasia"	"Hypoplasie/dysplasie du tronc cérébral"@fr
<http://purl.obolibrary.org/obo/HP_0030245>	<http://www.w3.org/2000/01/rdf-schema#label>		"Intrapartum fever"	"Fièvre de l'intra-partum"@fr
<http://purl.obolibrary.org/obo/HP_0005537>	<http://www.w3.org/2000/01/rdf-schema#label>		"Decreased mean platelet volume"	"Volume plaquettaire moyen diminué"@fr
<http://purl.obolibrary.org/obo/HP_0002236>	<http://www.w3.org/2000/01/rdf-schema#label>		"Frontal upsweep of hair"	"Frontal upsweep of hair"
<http://purl.obolibrary.org/obo/HP_0000739>	<http://www.w3.org/2000/01/rdf-schema#label>		"Anxiety"	"Anxiété"@fr
<http://purl.obolibrary.org/obo/HP_0006263>	<http://www.w3.org/2000/01/rdf-schema#label>		"Abnormality of the epiphyses of the 2nd finger"	"Anomalie des épiphyses de l'index"@fr
<http://purl.obolibrary.org/obo/HP_0001197>	<http://www.w3.org/2000/01/rdf-schema#label>		"Abnormality of prenatal development or birth"	"Anomalie du développement prénatal ou de la naissance"@fr
<http://purl.obolibrary.org/obo/HP_0031390>	<http://www.w3.org/2000/01/rdf-schema#label>		"Reduced MHC II surface expression"	"Réduction de l'expression de surface du CMH II"@fr
<http://purl.obolibrary.org/obo/HP_0007613>	<http://www.w3.org/2000/01/rdf-schema#label>		"Spinous keratoses of palms and soles"	"kératose épineuse palmoplantaire"@fr
<http://purl.obolibrary.org/obo/HP_0002914>	<http://www.w3.org/2000/01/rdf-schema#label>		"Hyperchloriduria"	"Chlorures urinaires augmentés"@fr
<http://purl.obolibrary.org/obo/HP_0430019>	<http://www.w3.org/2000/01/rdf-schema#label>		"Abnormality of muscle of facial expression"	"Anomalie des muscles de l'expression faciale"@fr
<http://purl.obolibrary.org/obo/HP_0030655>	<http://www.w3.org/2000/01/rdf-schema#label>		"Umbilical cord knot"	"Nœud du cordon ombilical"@fr
<http://purl.obolibrary.org/obo/HP_0031071>	<http://purl.obolibrary.org/obo/IAO_0000115>		"Any anomaly of the structure of an organ ofthe endocrine system"	"Toute anomalie de la structure d'un organe du système endocrinien"
<http://purl.obolibrary.org/obo/HP_0011954>	<http://www.w3.org/2000/01/rdf-schema#label>		"Nodular regenerative hyperplasia of liver"	"Hyperplasie régénérative nodulaire du foie"@fr
<http://purl.obolibrary.org/obo/HP_0009555>	<http://www.w3.org/2000/01/rdf-schema#label>		"Hypoplasia of the pharynx"	"Hypoplasie du pharynx"@fr
<http://purl.obolibrary.org/obo/HP_0003391>	<http://www.w3.org/2000/01/rdf-schema#label>		"Gowers sign"	"Signe de Gowers"@fr
<http://purl.obolibrary.org/obo/HP_0001326>	<http://www.w3.org/2000/01/rdf-schema#label>		"EEG with irregular generalized spike and wave complexes"	"EEG avec complexes de pointes et d'ondes généralisées et irrégulières"@fr
<http://purl.obolibrary.org/obo/HP_0025431>	<http://www.w3.org/2000/01/rdf-schema#label>		"Staccato cry"	"Cri staccato"@fr
<http://purl.obolibrary.org/obo/HP_0001088>	<http://www.w3.org/2000/01/rdf-schema#label>		"Brushfield spots"	"Tâches de Brushfield"@fr
<http://purl.obolibrary.org/obo/HP_0100302>	<http://www.w3.org/2000/01/rdf-schema#label>		"Muscle fiber tubuloreticular inclusions"	"Inclusions tubuloréticulaires de la fibre musculaire"@fr
<http://purl.obolibrary.org/obo/HP_0030644>	<http://www.w3.org/2000/01/rdf-schema#label>		"Blind-spot enlargment"	"Enlargement de la tâche aveugle"@fr
<http://purl.obolibrary.org/obo/HP_0006625>	<http://www.w3.org/2000/01/rdf-schema#label>		"Multifocal breast carcinoma"	"Cancer du sein multifocal"@fr
<http://purl.obolibrary.org/obo/HP_0500079>	<http://www.w3.org/2000/01/rdf-schema#label>		"Alternating hypophoria"	"Hypophorie en alterance"@fr
<http://purl.obolibrary.org/obo/HP_0002965>	<http://www.w3.org/2000/01/rdf-schema#label>		"Cutaneous anergy"	"Absence de réaction d'hypersensibilité cutanée retardée (anergie)"@fr
<http://purl.obolibrary.org/obo/HP_0031316>	<http://www.w3.org/2000/01/rdf-schema#label>		"Abnormal ventricular myocardium morphology"	"Morphologie anormale du myocarde ventriculaire"@fr
<http://purl.obolibrary.org/obo/HP_0011077>	<http://www.w3.org/2000/01/rdf-schema#label>		"Abnormality of molar"	"Anomalie d'une molaire"@fr
<http://purl.obolibrary.org/obo/HP_0012695>	<http://www.w3.org/2000/01/rdf-schema#label>		"Decreased thalamic volume"	"Diminution du volume du thalamus"@fr
<http://purl.obolibrary.org/obo/HP_0031083>	<http://www.w3.org/2000/01/rdf-schema#label>		"Abnormal response to human chorionic gonadotrophin stimulation test"	"Réponse anormale au test de stimulation par la gonadotrophine chorionique humaine (hCG)"@fr
<http://purl.obolibrary.org/obo/HP_0007179>	<http://www.w3.org/2000/01/rdf-schema#label>		"Absent smooth pursuit"	"Poursuite oculaire absente"@fr
<http://purl.obolibrary.org/obo/HP_0003153>	<http://www.w3.org/2000/01/rdf-schema#label>		"Cystathioninuria"	"Cystathioninurie"@fr
<http://purl.obolibrary.org/obo/HP_0000169>	<http://www.w3.org/2000/01/rdf-schema#label>		"Gingival fibromatosis"	"Fibromatose gingivale"@fr
<http://purl.obolibrary.org/obo/HP_0001140>	<http://www.w3.org/2000/01/rdf-schema#label>		"Limbal dermoid"	"Dermoïde épibulbaire"@fr
<http://purl.obolibrary.org/obo/HP_0000821>	<http://www.w3.org/2000/01/rdf-schema#label>		"Hypothyroidism"	"Hypothyroïdie"@fr
<http://purl.obolibrary.org/obo/HP_0006785>	<http://www.w3.org/2000/01/rdf-schema#label>		"Limb-girdle muscular dystrophy"	"Dystrophie musculaire des ceintures"@fr
<http://purl.obolibrary.org/obo/HP_0002092>	<http://www.w3.org/2000/01/rdf-schema#label>		"Pulmonary arterial hypertension"	"Hypertension artérielle pulmonaire"@fr
<http://purl.obolibrary.org/obo/HP_0040231>	<http://www.w3.org/2000/01/rdf-schema#label>		"Abnormal onset of bleeding"	"Anomalie du saignement"@fr
<http://purl.obolibrary.org/obo/HP_0011539>	<http://www.w3.org/2000/01/rdf-schema#label>		"Atrial situs ambiguous"	"Situs ambigus atrial"@fr
<http://purl.obolibrary.org/obo/HP_0002781>	<http://www.w3.org/2000/01/rdf-schema#label>		"Upper airway obstruction"	"Obstruction des voies aériennes supérieures"@fr
<http://purl.obolibrary.org/obo/HP_0001344>	<http://www.w3.org/2000/01/rdf-schema#label>		"Absent speech"	"Développement du langage absent"@fr
<http://purl.obolibrary.org/obo/HP_0005671>	<http://www.w3.org/2000/01/rdf-schema#label>		"Bilateral intracranial calcifications"	"Calcifications intracrâniennes bilatérales"
<http://purl.obolibrary.org/obo/HP_0031446>	<http://www.w3.org/2000/01/rdf-schema#label>		"Erosion of oral mucosa"	"Érosion de la muqueuse buccale"@fr
<http://purl.obolibrary.org/obo/HP_0008455>	<http://www.w3.org/2000/01/rdf-schema#label>		"Dysplastic sacrum"	"Dysplasie du sacrum"@fr
<http://purl.obolibrary.org/obo/HP_0002831>	<http://www.w3.org/2000/01/rdf-schema#label>		"Long coccyx"	"Coccyx anormalement long"@fr
<http://purl.obolibrary.org/obo/HP_0011371>	<http://www.w3.org/2000/01/rdf-schema#label>		"Recurrent viral skin infections"	"Infections cutanées virales récidivantes"@fr
<http://purl.obolibrary.org/obo/HP_0009317>	<http://www.w3.org/2000/01/rdf-schema#label>		"Deviation of the 3rd finger"	"Déviation du majeur"@fr
<http://purl.obolibrary.org/obo/HP_0030405>	<http://purl.obolibrary.org/obo/IAO_0000115>		"A neuroendocrine tumor originating in a hormone-producing cell (islet cell) of the pancreas"	"Une tumeur neuroendocrine provenant d'une cellule sécrétant une hormone (une cellule des îlots de Langherans) du pancréas"
<http://purl.obolibrary.org/obo/HP_0410194>	<http://www.w3.org/2000/01/rdf-schema#label>		"Increased uridine diphosphate glucose-4-epimerase activity in plasma"	"Augmentation de l'activité uridine diphosphate glucose-4-épimérase dans le plasma"
<http://purl.obolibrary.org/obo/HP_0001931>	<http://www.w3.org/2000/01/rdf-schema#label>		"Hypochromic anemia"	"Anémie hypochrome"@fr
<http://purl.obolibrary.org/obo/HP_0010460>	<http://www.w3.org/2000/01/rdf-schema#label>		"Abnormality of the female genitalia"	"anomalie des organes génitaux féminins"@fr
<http://purl.obolibrary.org/obo/HP_0001123>	<http://www.w3.org/2000/01/rdf-schema#label>		"Visual field defect"	"Anomalie du champ visuel"@fr
<http://purl.obolibrary.org/obo/HP_0410214>	<http://www.w3.org/2000/01/rdf-schema#label>		"Hypercapnia in cord blood"	"Hypercapnie dans le sang du cordon"@fr
<http://purl.obolibrary.org/obo/HP_0011436>	<http://www.w3.org/2000/01/rdf-schema#label>		"Abnormal maternal serum screening"	"Bilan sérique materne anormal"@fr
<http://purl.obolibrary.org/obo/HP_0000006>	<http://www.w3.org/2000/01/rdf-schema#label>		"Autosomal dominant inheritance"	"Transmission autosomique dominante"@fr
<http://purl.obolibrary.org/obo/HP_0000123>	<http://www.w3.org/2000/01/rdf-schema#label>		"Nephritis"	"Néphrite (chronique héréditaire)"@fr
<http://purl.obolibrary.org/obo/HP_0003073>	<http://www.w3.org/2000/01/rdf-schema#label>		"Hypoalbuminemia"	"Hypoalbuminémie"@fr
<http://purl.obolibrary.org/obo/HP_0025505>	<http://www.w3.org/2000/01/rdf-schema#label>		"Anomalous origin of the circumflex artery from the right sinus of Valsalva"	"Origine anormale de l'artère circonflexe à partir du sinus de Valsalva droit"@fr
<http://purl.obolibrary.org/obo/HP_0040070>	<http://www.w3.org/2000/01/rdf-schema#label>		"Abnormality of upper limb bone"	"Anomalie des os des membres supérieurs"
<http://purl.obolibrary.org/obo/HP_0010747>	<http://www.w3.org/2000/01/rdf-schema#label>		"Medial flaring of the eyebrow"	"Évasement médian des sourcils"@fr
<http://purl.obolibrary.org/obo/HP_0007188>	<http://www.w3.org/2000/01/rdf-schema#label>		"Congenital facial diplegia"	"Diplégie congénitale faciale"@fr
<http://purl.obolibrary.org/obo/HP_0004679>	<http://www.w3.org/2000/01/rdf-schema#label>		"Large tarsal bones"	"Grands os tarsiens"@fr
<http://purl.obolibrary.org/obo/HP_0011855>	<http://www.w3.org/2000/01/rdf-schema#label>		"Pharyngeal edema"	"Oedème pharyngé"@fr
<http://purl.obolibrary.org/obo/HP_0100293>	<http://www.w3.org/2000/01/rdf-schema#label>		"Muscle fiber hypertrophy"	"Hypertrophie des fibres musculaires"
<http://purl.obolibrary.org/obo/HP_0004262>	<http://www.w3.org/2000/01/rdf-schema#label>		"Abnormality of the capitate bone"	"anomalie de capitatum"@fr
<http://purl.obolibrary.org/obo/HP_0011864>	<http://www.w3.org/2000/01/rdf-schema#label>		"Elevated plasma pyrophosphate"	"Pyrophosphate plasmatique élevé"@fr
<http://purl.obolibrary.org/obo/HP_0010326>	<http://www.w3.org/2000/01/rdf-schema#label>		"Deviation of the 2nd toe"	"Déviation/déplacement du 2nd orteil"@fr
<http://purl.obolibrary.org/obo/HP_0001988>	<http://www.w3.org/2000/01/rdf-schema#label>		"Recurrent hypoglycemia"	"Hypoglycémie récurrente"@fr
<http://purl.obolibrary.org/obo/HP_0005214>	<http://www.w3.org/2000/01/rdf-schema#label>		"Intestinal obstruction"	"Occlusion intestinale"@fr
<http://purl.obolibrary.org/obo/HP_0030685>	<http://www.w3.org/2000/01/rdf-schema#label>		"Decreased adiponectin level"	"Diminution du taux d'adiponectine"@fr
<http://purl.obolibrary.org/obo/HP_0010764>	<http://www.w3.org/2000/01/rdf-schema#label>		"Short eyelashes"	"cils courts"@fr
<http://purl.obolibrary.org/obo/HP_0003324>	<http://www.w3.org/2000/01/rdf-schema#label>		"Generalized muscle weakness"	"Faiblesse musculaire généralisée "@fr
<http://purl.obolibrary.org/obo/HP_0030078>	<http://www.w3.org/2000/01/rdf-schema#label>		"Lung adenocarcinoma"	"Adénocarcinome pulmonaire"@fr
<http://purl.obolibrary.org/obo/HP_0002151>	<http://www.w3.org/2000/01/rdf-schema#label>		"Increased serum lactate"	"Lactates sériques augmentés"@fr
<http://purl.obolibrary.org/obo/HP_0011683>	<http://www.w3.org/2000/01/rdf-schema#label>		"Restrictive ventricular septal defect"	"Déviation ventriculaire restrictive"@fr
<http://purl.obolibrary.org/obo/HP_0100657>	<http://www.w3.org/2000/01/rdf-schema#label>		"Thoracoabdominal eventration"	"Célosomie (éventration thoraco-abdominale)"@fr
<http://purl.obolibrary.org/obo/HP_0031202>	<http://www.w3.org/2000/01/rdf-schema#label>		"Waxy casts"	"Nodules cireux"@fr
<http://purl.obolibrary.org/obo/HP_0004913>	<http://www.w3.org/2000/01/rdf-schema#label>		"Intermittent lactic acidemia"	"Acidose lactique intermittente"@fr
<http://purl.obolibrary.org/obo/HP_0031581>	<http://www.w3.org/2000/01/rdf-schema#label>		"Tessier number 9 facial cleft"	"Fente faciale de Tessier numéro 9"@fr
<http://purl.obolibrary.org/obo/HP_0010085>	<http://www.w3.org/2000/01/rdf-schema#label>		"Aplasia/Hypoplasia of the proximal phalanx of the hallux"	"Aplasie/hypoplasie de la phalange proximale de l'hallux"@fr
<http://purl.obolibrary.org/obo/HP_0031776>	<http://www.w3.org/2000/01/rdf-schema#label>		"Cyclotropia"	"Cyclotropie"@fr
<http://purl.obolibrary.org/obo/HP_0003986>	<http://www.w3.org/2000/01/rdf-schema#label>		"Exostoses of the radius"	"Exostoses du radius"@fr
<http://purl.obolibrary.org/obo/HP_0001063>	<http://www.w3.org/2000/01/rdf-schema#label>		"Acrocyanosis"	"Acrocyanose"@fr
<http://purl.obolibrary.org/obo/HP_0012042>	<http://www.w3.org/2000/01/rdf-schema#label>		"Aspirin-induced asthma"	"Asthme induit par l'aspirine"@fr
<http://purl.obolibrary.org/obo/HP_0006634>	<http://www.w3.org/2000/01/rdf-schema#label>		"Osteosclerosis of ribs"	"Ostéosclérose des côtes"@fr
<http://purl.obolibrary.org/obo/HP_0030643>	<http://www.w3.org/2000/01/rdf-schema#label>		"Vitelliform-like retinal lesions"	"Lésions rétiniennes de type vitelliforme"@fr
<http://purl.obolibrary.org/obo/HP_0010974>	<http://www.w3.org/2000/01/rdf-schema#label>		"Abnormality of myeloid leukocytes"	"Anomalie des leucocytes myéloïdes"
<http://purl.obolibrary.org/obo/HP_0004616>	<http://www.w3.org/2000/01/rdf-schema#label>		"Cleft vertebral arch"	"Fente des arcs vertébraux"@fr
<http://purl.obolibrary.org/obo/HP_0003800>	<http://www.w3.org/2000/01/rdf-schema#label>		"Muscle abnormality related to mitochondrial dysfunction"	"Anomalie musculaire liée à un dysfonctionnement mitochondrial"@fr
<http://purl.obolibrary.org/obo/HP_0001008>	<http://www.w3.org/2000/01/rdf-schema#label>		"Accumulation of melanosomes in melanocytes"	"Accumulation de mélanosomes dans les mélanocytes"@fr
<http://purl.obolibrary.org/obo/HP_0045054>	<http://www.w3.org/2000/01/rdf-schema#label>		"Brachial plexus neuropathy"	"Neuropathie du plexus brachial"@fr
<http://purl.obolibrary.org/obo/HP_0007458>	<http://www.w3.org/2000/01/rdf-schema#label>		"Focal hyperextensible skin"	"peau hyperextensible localement"@fr
<http://purl.obolibrary.org/obo/HP_0002078>	<http://www.w3.org/2000/01/rdf-schema#label>		"Truncal ataxia"	"Ataxie du tronc"@fr
<http://purl.obolibrary.org/obo/HP_0011426>	<http://www.w3.org/2000/01/rdf-schema#label>		"Fetal choroid plexus cysts"	"Kystes du plexus choroïde fœtal"@fr
<http://purl.obolibrary.org/obo/HP_0011675>	<http://www.w3.org/2000/01/rdf-schema#label>		"Arrhythmia"	"Arythmie"@fr
<http://purl.obolibrary.org/obo/HP_0032086>	<http://www.w3.org/2000/01/rdf-schema#label>		"Aortic smooth muscle cell nuclei loss"	"Perte des noyaux des cellules musculaires lisses de l'aorte"@fr
<http://purl.obolibrary.org/obo/HP_0001459>	<http://www.w3.org/2000/01/rdf-schema#label>		"1-3 toe syndactyly"	"Syndactylie du 1er au 3ème orteil"@fr
<http://purl.obolibrary.org/obo/HP_0008277>	<http://www.w3.org/2000/01/rdf-schema#label>		"Abnormal blood zinc concentration"	"Anomalie de la concentration du zinc"@fr
<http://purl.obolibrary.org/obo/HP_0010538>	<http://www.w3.org/2000/01/rdf-schema#label>		"Small sella turcica"	"Petite selle turcique"@fr
<http://purl.obolibrary.org/obo/HP_0100678>	<http://www.w3.org/2000/01/rdf-schema#label>		"Premature skin wrinkling"	"Vieillissement prématuré de la peau"@fr
<http://purl.obolibrary.org/obo/HP_0010286>	<http://www.w3.org/2000/01/rdf-schema#label>		"Abnormal salivary gland morphology"	"Anomalie morphologique des glandes salivaires"@fr
<http://purl.obolibrary.org/obo/HP_0004336>	<http://www.w3.org/2000/01/rdf-schema#label>		"Myelin outfoldings"	"Dépôts de myéline"@fr
<http://purl.obolibrary.org/obo/HP_0011278>	<http://www.w3.org/2000/01/rdf-schema#label>		"Intrapulmonary sequestration"	"Séquestration intrapulmonaire"@fr
<http://purl.obolibrary.org/obo/HP_0011349>	<http://www.w3.org/2000/01/rdf-schema#label>		"Abducens palsy"	"Paralysie du nerf abducens"
<http://purl.obolibrary.org/obo/HP_0010807>	<http://www.w3.org/2000/01/rdf-schema#label>		"Open bite"	"Béance en occlusion"@fr
<http://purl.obolibrary.org/obo/HP_0100767>	<http://www.w3.org/2000/01/rdf-schema#label>		"Abnormality of the placenta"	"Anomalie du placenta"
<http://purl.obolibrary.org/obo/HP_0001812>	<http://www.w3.org/2000/01/rdf-schema#label>		"Hyperconvex fingernails"	"Ongles de la main hyperconvexes"@fr
<http://purl.obolibrary.org/obo/HP_0012117>	<http://www.w3.org/2000/01/rdf-schema#label>		"Hyperalbuminemia"	"Hyperalbuminémie"@fr
<http://purl.obolibrary.org/obo/HP_0010883>	<http://www.w3.org/2000/01/rdf-schema#label>		"Aortic valve atresia"	"Atrésie de la valvule aortique"@fr
<http://purl.obolibrary.org/obo/HP_0012476>	<http://www.w3.org/2000/01/rdf-schema#label>		"Specific pneumococcal antibody deficiency"	"Déficit en anticorps spécifiques anti-pneumococciques"
<http://purl.obolibrary.org/obo/HP_0001042>	<http://www.w3.org/2000/01/rdf-schema#label>		"High axial triradius"	"Triradius (dermatoglyphe particulier en forme d'étoile à trois branches) dont la branche axiale est développée"@fr
<http://purl.obolibrary.org/obo/HP_0031333>	<http://www.w3.org/2000/01/rdf-schema#label>		"Myocardial sarcomeric disarray"	"Désorganisation des sarcomères myocardiques"@fr
<http://purl.obolibrary.org/obo/HP_0001772>	<http://www.w3.org/2000/01/rdf-schema#label>		"Talipes equinovalgus"	"Pied en valgus équin"@fr
<http://purl.obolibrary.org/obo/HP_0030198>	<http://www.w3.org/2000/01/rdf-schema#label>		"Fatigable weakness of distal limb muscles"	"Fatigabilité des muscles des membres distaux"@fr
<http://purl.obolibrary.org/obo/HP_0011772>	<http://www.w3.org/2000/01/rdf-schema#label>		"Abnormality of thyroid morphology"	"Anomalie de la morphologie de la thyroïde"
<http://purl.obolibrary.org/obo/HP_0031794>	<http://www.w3.org/2000/01/rdf-schema#label>		"Decreased circulating glycerol level"	"Diminution du taux de glycérol circulant"@fr
<http://purl.obolibrary.org/obo/HP_0003413>	<http://www.w3.org/2000/01/rdf-schema#label>		"Atlantoaxial abnormality"	"Anomalie atlantoaxoïdienne"@fr
<http://purl.obolibrary.org/obo/HP_0009560>	<http://www.w3.org/2000/01/rdf-schema#label>		"Curved distal phalanx of the 2nd finger"	"Courbure de la phalange distale de l'index"@fr
<http://purl.obolibrary.org/obo/HP_0025433>	<http://www.w3.org/2000/01/rdf-schema#label>		"Decreased lecithin cholesterol acyl transferase activity"	"Diminution de l'activité de la lécithine cholestérol acyl transférase"
<http://purl.obolibrary.org/obo/HP_0410178>	<http://www.w3.org/2000/01/rdf-schema#label>		"Increased glucose-6-phosphate dehydrogenase level in blood"	"Augmentation du taux de glucose-6-phosphate déshydrogénase sanguin"@fr
<http://purl.obolibrary.org/obo/HP_0030120>	<http://www.w3.org/2000/01/rdf-schema#label>		"Absent muscle fiber calpain-3"	"Absence de la fibre musculaire en calpaïne-3"@fr
<http://purl.obolibrary.org/obo/HP_0008083>	<http://www.w3.org/2000/01/rdf-schema#label>		"2nd-5th toe middle phalangeal hypoplasia"	"Hypoplasie de la phalange moyenne du second au cinquième orteil"@fr
<http://purl.obolibrary.org/obo/HP_0004764>	<http://www.w3.org/2000/01/rdf-schema#label>		"Myxomatous mitral valve degeneration"	"Dégénérescence myxomateuse de la valve mitrale"@fr
<http://purl.obolibrary.org/obo/HP_0012444>	<http://www.w3.org/2000/01/rdf-schema#label>		"Brain atrophy"	"Atrophie du cerveau"@fr
<http://purl.obolibrary.org/obo/HP_0000618>	<http://www.w3.org/2000/01/rdf-schema#label>		"Blindness"	"Cécité"@fr
<http://purl.obolibrary.org/obo/HP_0006213>	<http://www.w3.org/2000/01/rdf-schema#label>		"Thin proximal phalanges with broad epiphyses of the hand"	"Phalanges proximales fines avec des épiphyses larges"@fr
<http://purl.obolibrary.org/obo/HP_0002967>	<http://www.w3.org/2000/01/rdf-schema#label>		"Cubitus valgus"	"Cubitus valgus"
<http://purl.obolibrary.org/obo/HP_0011319>	<http://www.w3.org/2000/01/rdf-schema#label>		"Bilambdoid synostosis"	"Synostose bilambdoïde"@fr
<http://purl.obolibrary.org/obo/HP_0030527>	<http://www.w3.org/2000/01/rdf-schema#label>		"Very severe constriction of peripheral visual field"	"Constriction très sévère du champ visuel périphérique"@fr
<http://purl.obolibrary.org/obo/HP_0004933>	<http://www.w3.org/2000/01/rdf-schema#label>		"Ascending aortic dissection"	"Dissection aortique ascendante"@fr
<http://purl.obolibrary.org/obo/HP_0000096>	<http://www.w3.org/2000/01/rdf-schema#label>		"Glomerulosclerosis"	"Glomérulosclérose"
<http://purl.obolibrary.org/obo/HP_0011511>	<http://www.w3.org/2000/01/rdf-schema#label>		"Macular schisis"	"Schisis maculaire"@fr
<http://purl.obolibrary.org/obo/HP_0010554>	<http://www.w3.org/2000/01/rdf-schema#label>		"Cutaneous finger syndactyly"	"syndactylie cutanée des doigts"@fr
<http://purl.obolibrary.org/obo/HP_0032222>	<http://www.w3.org/2000/01/rdf-schema#label>		"Serrated intestinal polyps"	"Polypes intestinaux dentelés"@fr
<http://purl.obolibrary.org/obo/HP_0005369>	<http://www.w3.org/2000/01/rdf-schema#label>		"Decreased serum complement factor H"	"Facteur H du complément sérique diminué"@fr
<http://purl.obolibrary.org/obo/HP_0006383>	<http://www.w3.org/2000/01/rdf-schema#label>		"Progressive bowing of long bones"	"Incurvation progressive des os longs"@fr
<http://purl.obolibrary.org/obo/HP_0031017>	<http://www.w3.org/2000/01/rdf-schema#label>		"Swiss cheese atrial septal defect"	"Communication interauriculaire en forme de fromage suisse"@fr
<http://purl.obolibrary.org/obo/HP_0012187>	<http://www.w3.org/2000/01/rdf-schema#label>		"Increased erythrocyte protoporphyrin concentration"	"Augmentation de la concentration de protoporphyrine érythrocytaire"@fr
<http://purl.obolibrary.org/obo/HP_0004856>	<http://www.w3.org/2000/01/rdf-schema#label>		"Normochromic microcytic anemia"	"Anémie normochrome microcytaire"@fr
<http://purl.obolibrary.org/obo/HP_0002627>	<http://www.w3.org/2000/01/rdf-schema#label>		"Right aortic arch with mirror image branching"	"Arc aortique droit avec branchement en miroir"@fr
<http://purl.obolibrary.org/obo/HP_0009963>	<http://www.w3.org/2000/01/rdf-schema#label>		"Duplication of the middle phalanx of the 3rd finger"	"Duplication de la phalange moyenne du majeur"@fr
<http://purl.obolibrary.org/obo/HP_0002783>	<http://www.w3.org/2000/01/rdf-schema#label>		"Recurrent lower respiratory tract infections"	"Infections distales des voies aériennes récurrentes"@fr
<http://purl.obolibrary.org/obo/HP_0008663>	<http://www.w3.org/2000/01/rdf-schema#label>		"Renal sarcoma"	"Sarcome rénal "@fr
<http://purl.obolibrary.org/obo/HP_0040234>	<http://www.w3.org/2000/01/rdf-schema#label>		"Factor XIII subunit B deficiency"	"Déficit de la sous-unité B du Facteur XIII"@fr
<http://purl.obolibrary.org/obo/HP_0009812>	<http://www.w3.org/2000/01/rdf-schema#label>		"Amelia involving the upper limbs"	"Amélie impliquant les membres supérieurs"@fr
<http://purl.obolibrary.org/obo/HP_0000123>	<http://www.w3.org/2000/01/rdf-schema#label>		"Nephritis"	"Néphrite"@fr
<http://purl.obolibrary.org/obo/HP_0011026>	<http://www.w3.org/2000/01/rdf-schema#label>		"Aplasia/Hypoplasia of the vagina"	"Aplasie/hypoplasie du vagin"@fr
